"","Score","Potential ScorePerfect: 14","CAR 21@PIT 52","NO 51@CIN 14","ATL 16@CLE 28","JAX 26@IND 29","DET 22@CHI 34","AZ 14@KC 26","NE 10@TEN 34","WAS 16@TB 3","BUF 41@NYJ 10","LAC 20@OAK 6","MIA 12@GB 31","SEA 31@LAR 36","DAL 27@PHI 20","NYG 27@SF 23","Tie BreakerPredictionActual: 50"
"","","click for stats:","","","","","","","","","","","","","","","[?]"
"Barry from Miami","8","8","PIT","NO","ATL","IND","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","SF","44"
"Eggman","8","8","PIT","NO","ATL","IND","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","SF","57"
"Mark_W","8","8","-","NO","ATL","IND","DET","KC","TEN","TB","NYJ","LAC","GB","LAR","PHI","NYG","43"
"Coachjoel57","8","8","PIT","NO","ATL","IND","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","SF","42"
"Dorf","8","8","PIT","NO","ATL","JAX","CHI","KC","NE","WAS","NYJ","LAC","GB","LAR","PHI","SF","42"
"Friedman's Got Talent","8","8","PIT","NO","ATL","IND","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","SF","42"
"Jerry1229","8","8","PIT","NO","ATL","IND","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","SF","42"
"Art","8","8","PIT","NO","ATL","IND","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","SF","42"
"Chess Doc","8","8","CAR","NO","ATL","IND","DET","KC","NE","TB","BUF","LAC","GB","LAR","PHI","NYG","42"
"Larry1223","8","8","CAR","NO","ATL","IND","CHI","KC","NE","TB","BUF","LAC","GB","LAR","PHI","SF","42"
"HayMadEm","8","8","PIT","NO","ATL","IND","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","SF","42"
"Fire Goodell","8","8","-","NO","CLE","JAX","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","NYG","42"
"JMenacker","8","8","PIT","NO","ATL","IND","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","SF","42"
"king","8","8","PIT","NO","ATL","IND","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","SF","41"
"Sophie's Last Choice","8","8","CAR","NO","ATL","IND","CHI","KC","NE","TB","BUF","LAC","GB","LAR","PHI","SF","41"
"GEO DOG","8","8","PIT","CIN","ATL","IND","CHI","KC","NE","WAS","NYJ","LAC","GB","LAR","PHI","SF","41"
"Keith Swet Tailor","8","8","PIT","NO","ATL","IND","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","SF","40"
"Used to be BristolDr","8","8","PIT","NO","ATL","JAX","CHI","KC","NE","WAS","NYJ","LAC","GB","LAR","PHI","SF","39"
"sdtrading","8","8","PIT","NO","ATL","IND","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","SF","38"
"Maven","8","8","PIT","NO","ATL","IND","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","SF","38"
"Saquads Scores!","8","8","PIT","NO","ATL","JAX","CHI","KC","NE","WAS","NYJ","LAC","GB","LAR","PHI","SF","35"
"Jaddie's Daddy","8","8","PIT","NO","ATL","IND","CHI","KC","NE","TB","NYJ","LAC","GB","LAR","PHI","SF","34"
