"","Score","Potential ScorePerfect: 14","DEN 45@AZ 10","TEN 19@LAC 20","CLE 23@TB 26","CAR 21@PHI 17","MN 37@NYJ 17","DET 32@MIA 21","NE 38@CHI 31","BUF 5@IND 37","HOU 20@JAX 7","NO 24@BAL 23","DAL 17@WAS 20","LAR 39@SF 10","CIN 10@KC 45","NYG 20@ATL 23","Tie BreakerPredictionActual: 43"
"","","click for stats:","","","","","","","","","","","","","","","[?]"
"Davs3b","10","10","AZ","LAC","TB","PHI","MN","DET","NE","BUF","JAX","NO","WAS","LAR","KC","ATL","54"
"Barry from Miami","10","10","DEN","LAC","TB","PHI","MN","MIA","NE","IND","JAX","BAL","WAS","LAR","KC","ATL","54"
"MSE-PA","10","10","DEN","LAC","TB","PHI","MN","MIA","NE","IND","JAX","NO","DAL","LAR","KC","ATL","56"
"coach1","10","10","DEN","LAC","TB","PHI","MN","DET","CHI","IND","JAX","BAL","WAS","LAR","KC","ATL","58"
"POOL MEISTER","10","10","AZ","LAC","TB","PHI","MN","DET","NE","IND","JAX","NO","DAL","LAR","KC","ATL","59"
"USMC1125","10","10","DEN","LAC","TB","PHI","MN","MIA","CHI","IND","JAX","NO","WAS","LAR","KC","ATL","62"
"Maven","9","9","AZ","LAC","TB","PHI","MN","DET","CHI","BUF","JAX","NO","WAS","LAR","KC","ATL","43"
"Sophie's Last Choice","9","9","DEN","TEN","TB","PHI","MN","MIA","NE","IND","JAX","BAL","WAS","LAR","KC","ATL","43"
"Kosher Dilly Dilly","9","9","AZ","LAC","TB","CAR","MN","DET","NE","IND","JAX","BAL","WAS","LAR","CIN","NYG","43"
"speedy","9","9","DEN","LAC","TB","PHI","NYJ","MIA","NE","IND","JAX","NO","WAS","LAR","KC","NYG","42"
"JustMonkeyinAround","9","9","DEN","LAC","CLE","PHI","MN","MIA","NE","IND","JAX","NO","DAL","LAR","KC","ATL","42"
"SuperBowl 52 Champs","9","9","AZ","LAC","TB","PHI","MN","DET","NE","IND","JAX","BAL","DAL","LAR","KC","ATL","44"
"Team Rovner","9","9","DEN","LAC","CLE","PHI","MN","MIA","NE","IND","JAX","NO","DAL","LAR","KC","ATL","44"
"Brubabe","9","9","AZ","LAC","TB","PHI","MN","MIA","NE","IND","JAX","BAL","WAS","LAR","KC","ATL","40"
"Petvet","9","9","DEN","LAC","CLE","PHI","MN","MIA","NE","IND","JAX","BAL","WAS","LAR","KC","ATL","48"
"Chess Doc","9","9","AZ","LAC","TB","PHI","MN","MIA","NE","BUF","JAX","NO","WAS","LAR","KC","ATL","48"
"Art","9","9","DEN","LAC","CLE","PHI","MN","MIA","NE","IND","JAX","BAL","WAS","LAR","KC","ATL","49"
