"","Score","Potential ScorePerfect: 16","WAS 16@TEN 25","BAL 22@LAC 10","NYG 27@IND 28","HOU 30@PHI 32","JAX 17@MIA 7","GB 44@NYJ 38","CIN 18@CLE 26","TB 20@DAL 27","MN 27@DET 9","BUF 12@NE 24","ATL 24@CAR 10","CHI 14@SF 9","LAR 31@AZ 9","PIT 28@NO 31","KC 31@SEA 38","DEN 14@OAK 27","Tie BreakerPredictionActual: 41"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"The Real Slim Brady","12","12","TEN","LAC","IND","PHI","MIA","GB","CIN","DAL","MN","NE","ATL","CHI","LAR","NO","SEA","DEN","0"
"king","11","11","TEN","LAC","IND","PHI","MIA","GB","CLE","DAL","MN","NE","ATL","CHI","LAR","PIT","KC","DEN","41"
"howarddmd","11","11","TEN","LAC","IND","HOU","MIA","GB","CLE","DAL","MN","NE","CAR","CHI","LAR","NO","SEA","DEN","41"
"Maven","11","11","TEN","BAL","IND","PHI","MIA","GB","CLE","DAL","MN","NE","CAR","CHI","LAR","PIT","KC","DEN","42"
"Art","11","11","TEN","LAC","IND","PHI","-","GB","CLE","DAL","DET","NE","ATL","CHI","LAR","NO","KC","DEN","40"
"Cramer","11","11","TEN","LAC","IND","PHI","MIA","GB","CLE","DAL","MN","NE","CAR","CHI","LAR","NO","KC","DEN","43"
"Mark_W","11","11","TEN","LAC","IND","PHI","MIA","GB","CIN","TB","MN","NE","ATL","CHI","LAR","NO","KC","OAK","43"
"LARRY SHIVTGERALD","11","11","-","LAC","IND","PHI","MIA","GB","CLE","DAL","MN","NE","ATL","CHI","LAR","NO","KC","DEN","43"
"SuperBowl 52 Champs","11","11","TEN","LAC","IND","PHI","MIA","GB","CLE","DAL","DET","NE","ATL","CHI","LAR","NO","KC","DEN","44"
"Jay's Gramps","11","11","TEN","LAC","IND","HOU","MIA","GB","CLE","DAL","MN","NE","ATL","CHI","LAR","PIT","SEA","DEN","38"
"GKAT28","11","11","-","LAC","IND","PHI","MIA","NYJ","CLE","DAL","DET","NE","ATL","CHI","LAR","NO","SEA","OAK","44"
"Keith Swet Tailor","11","11","-","-","IND","PHI","MIA","GB","CLE","DAL","MN","NE","CAR","CHI","LAR","NO","SEA","DEN","45"
"Jeff Rosenthal","11","11","TEN","LAC","IND","PHI","JAX","GB","CIN","DAL","MN","NE","CAR","CHI","LAR","NO","KC","DEN","36"
"TuesdayMorningQB","11","11","TEN","LAC","IND","HOU","MIA","NYJ","CLE","DAL","MN","NE","ATL","CHI","LAR","NO","KC","OAK","46"
"Digital Jim","11","11","TEN","LAC","IND","PHI","MIA","GB","CLE","DAL","DET","NE","ATL","CHI","LAR","NO","KC","DEN","36"
"j3live","11","11","TEN","BAL","IND","PHI","MIA","GB","CLE","TB","DET","NE","ATL","CHI","LAR","NO","KC","DEN","47"
"Teddy","11","11","TEN","LAC","IND","PHI","MIA","GB","CLE","DAL","MN","NE","CAR","CHI","LAR","NO","KC","DEN","48"
"tonyppt","11","11","TEN","LAC","IND","HOU","MIA","NYJ","CLE","DAL","MN","NE","ATL","CHI","LAR","NO","KC","OAK","48"
"Mega Movis Men","11","11","TEN","LAC","IND","PHI","JAX","GB","CIN","DAL","MN","NE","CAR","CHI","LAR","NO","KC","DEN","49"
"RichieRich$$","11","11","TEN","LAC","IND","PHI","MIA","GB","CLE","DAL","MN","NE","CAR","CHI","LAR","NO","KC","DEN","50"
"Brubabe","11","11","WAS","LAC","IND","PHI","MIA","GB","CLE","DAL","MN","NE","CAR","CHI","LAR","PIT","SEA","OAK","31"
"Jerry1229","11","11","TEN","LAC","IND","HOU","JAX","GB","CLE","DAL","MN","NE","CAR","CHI","LAR","NO","KC","DEN","51"
"Slugger53","11","11","TEN","LAC","IND","PHI","MIA","GB","CLE","DAL","DET","NE","ATL","CHI","LAR","NO","KC","DEN","52"
"Pioneers85","10","10","TEN","LAC","NYG","PHI","MIA","NYJ","CLE","DAL","MN","NE","CAR","CHI","LAR","PIT","SEA","OAK","41"
"JMenacker","10","10","TEN","LAC","IND","HOU","MIA","GB","CLE","DAL","MN","NE","CAR","CHI","LAR","NO","KC","DEN","42"
"West Coast Best Coast","10","10","TEN","LAC","IND","HOU","MIA","GB","CLE","DAL","MN","NE","CAR","CHI","LAR","NO","KC","DEN","40"
"Fein Men","10","10","TEN","LAC","IND","PHI","MIA","GB","CLE","DAL","MN","NE","CAR","CHI","LAR","PIT","KC","DEN","42"
"Kosher Dilly Dilly","10","10","TEN","BAL","NYG","HOU","MIA","GB","CLE","DAL","MN","NE","CAR","CHI","LAR","NO","KC","DEN","43"
"$man","10","10","TEN","LAC","IND","HOU","MIA","GB","CLE","DAL","MN","NE","CAR","CHI","LAR","NO","KC","DEN","39"
"Friedman's Got Talent","10","10","TEN","LAC","IND","HOU","MIA","NYJ","CLE","DAL","MN","NE","ATL","CHI","LAR","NO","KC","DEN","39"
"Chess Doc","10","10","TEN","LAC","IND","PHI","MIA","GB","CIN","DAL","MN","NE","CAR","CHI","LAR","NO","KC","DEN","38"
"HEADLY IV","10","10","TEN","LAC","IND","HOU","MIA","NYJ","CLE","DAL","MN","NE","ATL","CHI","LAR","NO","KC","DEN","44"
"Jack","10","10","TEN","LAC","IND","PHI","MIA","GB","CLE","TB","MN","NE","ATL","CHI","LAR","PIT","KC","DEN","44"
"Larry1223","10","10","TEN","LAC","IND","HOU","MIA","GB","CIN","DAL","MN","NE","ATL","CHI","LAR","NO","KC","DEN","44"
"Lucky Laits","10","10","TEN","LAC","IND","HOU","MIA","GB","CLE","DAL","DET","NE","CAR","CHI","LAR","NO","KC","OAK","44"
"TShelly","10","10","TEN","LAC","IND","PHI","MIA","NYJ","CLE","DAL","MN","NE","ATL","CHI","LAR","PIT","KC","DEN","45"
"madbolt","10","10","TEN","BAL","IND","HOU","MIA","NYJ","CLE","DAL","DET","NE","ATL","CHI","LAR","NO","KC","DEN","46"
"USMC1125","10","10","TEN","LAC","IND","PHI","MIA","NYJ","CIN","DAL","MN","NE","ATL","SF","LAR","NO","SEA","DEN","46"
"Go Pats!!!","10","10","WAS","LAC","IND","PHI","JAX","GB","CIN","DAL","DET","NE","CAR","CHI","LAR","NO","KC","OAK","34"
"Petvet","10","10","TEN","LAC","IND","PHI","MIA","GB","CLE","DAL","DET","NE","CAR","CHI","LAR","NO","KC","DEN","48"
"JustMonkeyinAround","10","10","TEN","LAC","IND","PHI","MIA","GB","CLE","TB","DET","NE","ATL","CHI","LAR","NO","KC","DEN","31"
"Giant Blues","10","10","TEN","LAC","NYG","HOU","MIA","GB","CLE","DAL","MN","NE","ATL","CHI","LAR","NO","KC","DEN","52"
"Alec B","10","10","TEN","LAC","IND","PHI","MIA","GB","CIN","DAL","DET","NE","ATL","CHI","LAR","NO","KC","DEN","58"
"They Might Be Giants!","9","9","TEN","LAC","NYG","HOU","JAX","GB","CIN","DAL","MN","NE","CAR","CHI","LAR","NO","KC","DEN","43"
"BADBOYBILLY","9","9","TEN","LAC","IND","PHI","JAX","GB","CLE","TB","DET","NE","CAR","CHI","LAR","PIT","KC","DEN","44"
"POOL MEISTER","9","9","TEN","LAC","IND","PHI","MIA","GB","CIN","TB","MN","NE","CAR","CHI","LAR","PIT","KC","OAK","48"
"Dental Plan","9","9","TEN","LAC","IND","HOU","MIA","NYJ","CLE","DAL","MN","NE","CAR","CHI","LAR","PIT","SEA","DEN","34"
"GEO DOG","9","9","TEN","LAC","IND","PHI","MIA","GB","CLE","TB","DET","NE","CAR","CHI","LAR","NO","KC","DEN","48"
"El Presidente","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
"Bill's Mafia","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
