"","Score","Potential ScorePerfect: 15","PHI 34@NYG 13","TB 29@ATL 34","CAR 17@WAS 23","SEA 27@OAK 3","IND 34@NYJ 42","AZ 17@MN 27","PIT 28@CIN 21","LAC 38@CLE 14","BUF 13@HOU 20","CHI 28@MIA 31","LAR 23@DEN 20","BAL 21@TEN 0","JAX 7@DAL 40","KC 40@NE 43","SF 30@GB 33","Tie BreakerPredictionActual: 63"
"","","click for stats:","","","","","","","","","","","","","","","","[?]"
"Jeff Rosenthal","10","10","PHI","ATL","CAR","SEA","NYJ","MN","PIT","CLE","HOU","CHI","LAR","BAL","JAX","KC","GB","44"
"Knead A Win","10","10","NYG","ATL","CAR","SEA","NYJ","MN","PIT","LAC","HOU","CHI","LAR","TEN","JAX","NE","GB","42"
"Jay's Gramps","10","10","PHI","ATL","CAR","SEA","IND","MN","PIT","CLE","HOU","CHI","LAR","BAL","JAX","NE","GB","42"
"Saquads Scores!","10","10","NYG","ATL","CAR","OAK","NYJ","MN","PIT","LAC","HOU","CHI","LAR","BAL","JAX","NE","GB","39"
"JustMonkeyinAround","10","10","PHI","ATL","CAR","SEA","NYJ","MN","CIN","LAC","HOU","CHI","LAR","TEN","JAX","NE","GB","38"
"Digital Jim","10","10","PHI","ATL","CAR","SEA","IND","MN","PIT","LAC","HOU","CHI","LAR","TEN","JAX","NE","GB","36"
"Maven","10","10","PHI","ATL","CAR","OAK","NYJ","MN","PIT","LAC","HOU","CHI","LAR","TEN","JAX","NE","GB","35"
"Jaddie's Daddy","10","10","NYG","ATL","CAR","SEA","NYJ","MN","CIN","LAC","HOU","MIA","LAR","BAL","JAX","KC","GB","34"
"tnrosen","10","10","PHI","TB","CAR","OAK","NYJ","MN","PIT","LAC","HOU","CHI","LAR","BAL","DAL","KC","GB","33"
"West Coast Best Coast","10","10","PHI","ATL","CAR","SEA","NYJ","MN","CIN","LAC","BUF","MIA","LAR","TEN","DAL","NE","SF","30"
"king","10","10","PHI","ATL","CAR","OAK","IND","MN","PIT","LAC","HOU","CHI","LAR","BAL","JAX","NE","GB","0"
"Boldman","10","10","PHI","ATL","CAR","SEA","NYJ","MN","CIN","LAC","HOU","CHI","LAR","BAL","JAX","KC","GB","0"
"Eggman","9","9","NYG","ATL","CAR","OAK","NYJ","MN","CIN","CLE","HOU","MIA","LAR","TEN","DAL","NE","GB","59"
"Jerry1229","9","9","PHI","ATL","CAR","SEA","IND","MN","CIN","LAC","HOU","CHI","LAR","TEN","JAX","NE","GB","51"
"Fein Men","9","9","PHI","ATL","CAR","OAK","NYJ","MN","CIN","LAC","HOU","CHI","LAR","TEN","JAX","NE","GB","51"
"Used to be BristolDr","9","9","PHI","ATL","CAR","SEA","NYJ","MN","CIN","CLE","HOU","MIA","LAR","TEN","JAX","KC","GB","48"
"USMC1125","9","9","NYG","TB","WAS","SEA","IND","MN","PIT","LAC","HOU","CHI","LAR","TEN","JAX","NE","GB","48"
"Sparky","9","9","PHI","TB","CAR","SEA","NYJ","MN","PIT","CLE","HOU","CHI","LAR","TEN","JAX","NE","GB","46"
"Teddy","9","9","PHI","TB","WAS","SEA","NYJ","MN","CIN","LAC","HOU","CHI","LAR","TEN","JAX","KC","GB","45"
"jtyler15","9","9","PHI","ATL","CAR","SEA","NYJ","MN","CIN","CLE","HOU","CHI","LAR","BAL","JAX","KC","GB","44"
"Mark_W","9","9","-","ATL","CAR","OAK","NYJ","MN","PIT","CLE","HOU","MIA","DEN","BAL","JAX","NE","GB","43"
"stanley steamer","9","9","NYG","ATL","CAR","SEA","NYJ","MN","CIN","LAC","BUF","CHI","LAR","BAL","JAX","NE","GB","42"
"JMenacker","9","9","PHI","TB","CAR","SEA","IND","MN","PIT","LAC","HOU","CHI","LAR","TEN","JAX","NE","GB","42"
"Mega Movis Men","9","9","PHI","ATL","CAR","SEA","IND","MN","PIT","LAC","HOU","CHI","LAR","TEN","JAX","KC","GB","42"
"GEO DOG","9","9","PHI","ATL","CAR","SEA","IND","MN","CIN","LAC","HOU","CHI","LAR","BAL","JAX","KC","GB","41"
"cammax716","9","9","PHI","ATL","CAR","SEA","IND","MN","PIT","LAC","HOU","CHI","LAR","TEN","JAX","KC","GB","37"
"Dental Plan","9","9","NYG","ATL","WAS","SEA","NYJ","MN","CIN","LAC","HOU","CHI","LAR","TEN","JAX","KC","GB","37"
"GeveandSteveandStella","9","9","PHI","TB","WAS","SEA","IND","MN","CIN","LAC","BUF","CHI","LAR","BAL","DAL","KC","GB","0"
"Bag 'n' Shoes","8","8","NYG","ATL","CAR","SEA","IND","MN","CIN","LAC","HOU","CHI","LAR","TEN","JAX","NE","GB","53"
"Larry1223","8","8","NYG","ATL","CAR","OAK","IND","MN","PIT","CLE","HOU","CHI","LAR","BAL","JAX","NE","GB","50"
"Giant Blues","8","8","NYG","ATL","CAR","SEA","NYJ","MN","CIN","CLE","HOU","CHI","LAR","BAL","JAX","KC","GB","49"
"Wentz is Jewish","8","8","PHI","TB","CAR","SEA","IND","MN","PIT","CLE","HOU","CHI","LAR","TEN","DAL","KC","GB","48"
"Sophie's Last Choice","8","8","PHI","TB","CAR","OAK","NYJ","MN","CIN","LAC","HOU","CHI","LAR","BAL","JAX","KC","GB","47"
"Kosher Dilly Dilly","8","8","NYG","ATL","CAR","SEA","IND","MN","CIN","LAC","HOU","CHI","LAR","BAL","JAX","KC","GB","43"
"Fire Goodell","8","8","NYG","ATL","WAS","OAK","NYJ","MN","CIN","CLE","HOU","CHI","LAR","TEN","JAX","NE","GB","42"
"Friedman's Got Talent","8","8","NYG","ATL","CAR","SEA","IND","MN","CIN","LAC","HOU","CHI","LAR","TEN","JAX","NE","GB","42"
"Jack","8","8","PHI","ATL","CAR","OAK","NYJ","MN","PIT","LAC","HOU","CHI","DEN","TEN","JAX","KC","GB","24"
"Petvet","7","7","NYG","ATL","CAR","SEA","NYJ","MN","CIN","CLE","HOU","CHI","LAR","TEN","JAX","KC","GB","48"
"j3live","7","7","PHI","ATL","CAR","OAK","NYJ","MN","CIN","CLE","HOU","CHI","LAR","TEN","JAX","KC","GB","48"
"Dr Blue","7","7","PHI","ATL","CAR","OAK","NYJ","MN","CIN","CLE","HOU","CHI","LAR","TEN","JAX","KC","GB","46"
"They Might Be Giants!","7","7","NYG","ATL","CAR","OAK","IND","AZ","CIN","LAC","HOU","CHI","LAR","BAL","JAX","NE","GB","42"
"madbolt","7","7","PHI","TB","CAR","SEA","IND","MN","PIT","CLE","BUF","MIA","DEN","TEN","DAL","KC","GB","42"
"$man","7","7","NYG","ATL","CAR","OAK","NYJ","MN","CIN","CLE","HOU","CHI","LAR","TEN","JAX","NE","GB","41"
"POOL MEISTER","6","6","PHI","ATL","CAR","OAK","NYJ","MN","CIN","CLE","HOU","CHI","LAR","TEN","JAX","KC","SF","49"
"HEADLY IV","6","6","NYG","ATL","CAR","OAK","NYJ","MN","CIN","CLE","HOU","CHI","LAR","TEN","JAX","KC","GB","46"
"speedy","6","6","NYG","ATL","CAR","OAK","NYJ","MN","CIN","CLE","HOU","CHI","LAR","BAL","JAX","KC","SF","42"
"The Real Slim Brady","6","6","NYG","ATL","CAR","SEA","IND","MN","CIN","CLE","HOU","CHI","LAR","TEN","JAX","NE","SF","0"
"El Presidente","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
"Bill's Mafia","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
