"","Score","Potential ScorePerfect: 16","ATL 12@PHI 18","BUF 3@BAL 47","JAX 20@NYG 15","TB 48@NO 40","HOU 20@NE 27","SF 16@MN 24","CIN 34@IND 23","PIT 21@CLE 21","KC 38@LAC 28","SEA 24@DEN 27","DAL 8@CAR 16","WAS 24@AZ 6","TEN 20@MIA 27","CHI 23@GB 24","NYJ 48@DET 17","LAR 33@OAK 13","Tie BreakerPredictionActual: 46"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"TShelly","10","10","PHI","BAL","JAX","NO","NE","MN","IND","PIT","LAC","DEN","DAL","AZ","MIA","GB","DET","LAR","48"
"Petvet","10","10","ATL","BAL","JAX","NO","NE","MN","CIN","PIT","LAC","DEN","CAR","AZ","TEN","GB","DET","LAR","48"
"Friedman's Got Talent","10","10","ATL","BAL","JAX","NO","NE","MN","IND","PIT","LAC","DEN","CAR","WAS","TEN","GB","DET","LAR","49"
"West Coast Best Coast","10","10","PHI","BUF","JAX","NO","NE","SF","CIN","PIT","KC","SEA","DAL","WAS","MIA","GB","DET","LAR","42"
"Perjodi","10","10","PHI","BAL","JAX","NO","NE","MN","IND","PIT","LAC","DEN","CAR","AZ","TEN","GB","DET","LAR","50"
"JMenacker","10","10","PHI","BAL","JAX","NO","NE","MN","IND","PIT","LAC","DEN","CAR","AZ","TEN","GB","DET","LAR","42"
"Knead A Win","10","10","ATL","BAL","NYG","NO","NE","MN","CIN","PIT","LAC","DEN","CAR","AZ","MIA","GB","DET","LAR","42"
"Slugger53","10","10","PHI","BAL","JAX","NO","NE","MN","IND","PIT","LAC","DEN","CAR","AZ","TEN","GB","DET","LAR","52"
"They Might Be Giants!","10","10","PHI","BAL","NYG","NO","NE","MN","CIN","CLE","LAC","DEN","DAL","AZ","TEN","GB","NYJ","LAR","39"
"Twinkletoes","10","10","ATL","BAL","JAX","NO","NE","MN","CIN","PIT","LAC","SEA","CAR","WAS","TEN","GB","DET","LAR","38"
"cammax716","10","10","PHI","BAL","JAX","NO","NE","SF","CIN","CLE","LAC","DEN","CAR","AZ","TEN","GB","DET","LAR","54"
"Jeff Rosenthal","10","10","PHI","BAL","NYG","NO","NE","MN","IND","PIT","KC","DEN","CAR","AZ","TEN","GB","DET","LAR","54"
"Dorf","10","10","PHI","BAL","JAX","NO","NE","MN","IND","PIT","LAC","DEN","CAR","AZ","TEN","GB","DET","LAR","36"
"Digital Jim","10","10","PHI","BAL","JAX","NO","NE","MN","IND","PIT","KC","SEA","CAR","WAS","TEN","GB","DET","OAK","35"
"HayMadEm","10","10","PHI","BAL","NYG","NO","NE","MN","CIN","PIT","LAC","DEN","CAR","AZ","TEN","GB","DET","LAR","35"
