"","Score","Potential ScorePerfect: 16","NO 10@DAL 13","CHI 27@NYG 30","BUF 17@MIA 21","DEN 24@CIN 10","LAR 30@DET 16","BAL 26@ATL 16","IND 0@JAX 6","CLE 13@HOU 29","AZ 20@GB 17","CAR 17@TB 24","KC 40@OAK 33","NYJ 22@TEN 26","MN 10@NE 24","SF 16@SEA 43","LAC 33@PIT 30","WAS 13@PHI 28","Tie BreakerPredictionActual: 41"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"Alec B","10","10","NO","NYG","MIA","DEN","LAR","ATL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","55"
"GeveandSteveandStella","10","10","NO","NYG","MIA","DEN","LAR","ATL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","0"
"Fire Goodell","9","9","NO","CHI","MIA","CIN","LAR","ATL","JAX","CLE","GB","TB","KC","TEN","NE","SEA","PIT","PHI","42"
"West Coast Best Coast","9","9","NO","CHI","MIA","DEN","LAR","ATL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","42"
"HayMadEm","9","9","NO","CHI","MIA","DEN","LAR","ATL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","42"
"Jaddie's Daddy","9","9","NO","CHI","MIA","DEN","LAR","ATL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","38"
"HAPPY NESS","9","9","NO","CHI","MIA","CIN","LAR","ATL","JAX","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","44"
"Go Pats!!!","9","9","NO","CHI","MIA","DEN","LAR","ATL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","37"
"RichieRich$$","9","9","NO","NYG","BUF","DEN","LAR","ATL","IND","HOU","GB","CAR","KC","TEN","MN","SEA","LAC","PHI","45"
"Keith Swet Tailor","9","9","-","CHI","MIA","DEN","LAR","ATL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","46"
"StamfordPhil","9","9","NO","CHI","MIA","DEN","LAR","ATL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","47"
"Joe Cell Man","9","9","NO","CHI","MIA","DEN","LAR","ATL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","47"
"Giant Blues","9","9","NO","NYG","MIA","DEN","LAR","ATL","IND","HOU","GB","CAR","OAK","TEN","NE","SEA","PIT","PHI","47"
"Larry1223","9","9","NO","CHI","MIA","CIN","LAR","ATL","IND","HOU","GB","TB","KC","TEN","NE","SEA","PIT","PHI","48"
"GEO DOG","9","9","NO","CHI","MIA","CIN","LAR","BAL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","48"
"Fein Men","9","9","NO","CHI","MIA","DEN","LAR","ATL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","48"
"Dental Plan","9","9","NO","CHI","BUF","DEN","LAR","ATL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","LAC","PHI","33"
"Maven","9","9","NO","CHI","BUF","DEN","LAR","BAL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","49"
"TuesdayMorningQB","9","9","NO","CHI","MIA","DEN","LAR","ATL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","49"
"Jerry1229","9","9","NO","CHI","BUF","DEN","LAR","BAL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","49"
"sdtrading","9","9","NO","CHI","BUF","DEN","LAR","BAL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","51"
"jtyler15","9","9","NO","CHI","BUF","DEN","LAR","ATL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","LAC","PHI","51"
"Sparky","9","9","NO","CHI","MIA","DEN","LAR","ATL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","52"
"Davs3b","9","9","NO","CHI","BUF","DEN","LAR","BAL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","53"
"Dr Blue","9","9","DAL","CHI","BUF","DEN","LAR","BAL","JAX","CLE","GB","CAR","KC","TEN","MN","SEA","PIT","PHI","56"
"Boldman","8","8","NO","CHI","BUF","DEN","LAR","ATL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","41"
"cammax716","8","8","NO","CHI","MIA","DEN","LAR","ATL","IND","HOU","GB","CAR","KC","TEN","MN","SEA","PIT","PHI","41"
"howarddmd","8","8","NO","CHI","MIA","CIN","LAR","ATL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","41"
"Wentz is Jewish","8","8","-","CHI","BUF","DEN","LAR","ATL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","42"
"GKAT28","8","8","NO","CHI","BUF","CIN","LAR","BAL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","42"
"They Might Be Giants!","8","8","NO","CHI","BUF","DEN","LAR","BAL","IND","HOU","GB","CAR","KC","NYJ","NE","SEA","PIT","PHI","43"
"BADBOYBILLY","8","8","NO","CHI","BUF","DEN","LAR","ATL","IND","HOU","GB","CAR","KC","TEN","NE","SEA","PIT","PHI","44"
