,Name,total_wins,week_01,week_02,week_03,week_04,week_05,week_06,week_07,week_08,week_09,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17
78,egever,171.0,10.0,9.0,9.0,11.0,9.0,11.0,11.0,11.0,9.0,11.0,6.0,9.0,10.0,12.0,10.0,12.0,11.0
79,howarddmd,162.0,9.0,9.0,7.0,10.0,8.0,12.0,11.0,11.0,11.0,9.0,7.0,11.0,8.0,7.0,8.0,11.0,13.0
80,j3live,151.0,13.0,9.0,9.0,9.0,9.0,7.0,8.0,9.0,10.0,7.0,6.0,10.0,6.0,7.0,9.0,11.0,12.0
81,jtyler15,165.0,11.0,8.0,9.0,10.0,9.0,9.0,12.0,13.0,7.0,7.0,7.0,12.0,9.0,7.0,10.0,12.0,13.0
82,king,169.0,11.0,10.0,10.0,9.0,10.0,10.0,11.0,9.0,12.0,8.0,6.0,10.0,10.0,9.0,10.0,11.0,13.0
83,madbolt,154.0,12.0,6.0,8.0,11.0,9.0,7.0,9.0,9.0,10.0,8.0,6.0,11.0,10.0,9.0,7.0,10.0,12.0
84,sdtrading,172.0,11.0,12.0,8.0,10.0,11.0,11.0,11.0,11.0,8.0,8.0,6.0,11.0,9.0,9.0,12.0,12.0,12.0
85,speedy,160.0,7.0,11.0,8.0,10.0,8.0,6.0,9.0,10.0,6.0,9.0,9.0,11.0,11.0,8.0,10.0,14.0,13.0
86,stanley steamer,147.0,7.0,8.0,10.0,10.0,9.0,9.0,7.0,12.0,7.0,7.0,5.0,9.0,7.0,7.0,9.0,12.0,12.0
87,tnrosen,158.0,9.0,9.0,8.0,8.0,9.0,10.0,10.0,13.0,8.0,6.0,5.0,11.0,13.0,7.0,7.0,12.0,13.0
88,tonyppt,174.0,11.0,11.0,11.0,9.0,12.0,12.0,13.0,10.0,8.0,9.0,7.0,11.0,10.0,9.0,11.0,11.0,9.0
