"","Score","Potential ScorePerfect: 16","BAL 23@CIN 34","CAR 24@ATL 31","IND 21@WAS 9","HOU 17@TEN 20","PHI 21@TB 27","KC 42@PIT 37","MIA 20@NYJ 12","LAC 31@BUF 20","MN 29@GB 29","CLE 18@NO 21","DET 27@SF 30","AZ 0@LAR 34","NE 20@JAX 31","OAK 19@DEN 20","NYG 13@DAL 20","SEA 17@CHI 24","Tie BreakerPredictionActual: 41"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"Slugger53","10","10","CIN","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","GB","NO","SF","LAR","JAX","DEN","NYG","CHI","52"
"GEO DOG","10","10","CIN","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","GB","NO","SF","LAR","JAX","DEN","NYG","CHI","58"
"howarddmd","9","9","BAL","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","MN","NO","SF","LAR","NE","DEN","DAL","CHI","41"
"Fire Goodell","9","9","CIN","CAR","WAS","HOU","PHI","PIT","MIA","LAC","MN","NO","SF","LAR","NE","DEN","NYG","CHI","42"
"Coachjoel57","9","9","BAL","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","MN","NO","SF","LAR","NE","DEN","DAL","CHI","42"
"Art","9","9","BAL","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","MN","NO","SF","LAR","NE","DEN","DAL","CHI","40"
"Jay's Gramps","9","9","BAL","ATL","WAS","HOU","PHI","KC","NYJ","LAC","MN","NO","DET","LAR","JAX","DEN","NYG","CHI","42"
"Joe Cell Man","9","9","CIN","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","MN","NO","SF","LAR","NE","DEN","NYG","CHI","40"
"Kosher Dilly Dilly","9","9","CIN","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","GB","NO","SF","LAR","NE","DEN","NYG","CHI","43"
"Saquads Scores!","9","9","BAL","ATL","WAS","TEN","PHI","PIT","NYJ","LAC","MN","NO","SF","LAR","JAX","DEN","NYG","SEA","38"
"j3live","9","9","BAL","ATL","IND","TEN","PHI","PIT","NYJ","BUF","GB","NO","SF","LAR","JAX","DEN","NYG","SEA","45"
"tnrosen","9","9","CIN","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","GB","NO","SF","LAR","NE","DEN","NYG","CHI","35"
"Maven","9","9","BAL","ATL","IND","HOU","PHI","KC","MIA","LAC","MN","NO","SF","AZ","NE","OAK","NYG","CHI","35"
"coach1","9","9","BAL","ATL","WAS","HOU","PHI","KC","NYJ","LAC","MN","NO","SF","LAR","NE","DEN","NYG","CHI","48"
"USMC1125","9","9","CIN","ATL","IND","HOU","PHI","PIT","NYJ","LAC","MN","NO","DET","LAR","NE","DEN","NYG","CHI","48"
"Jerry1229","9","9","-","ATL","WAS","HOU","PHI","PIT","MIA","LAC","MN","NO","SF","LAR","NE","DEN","NYG","CHI","32"
"egever","9","9","CIN","ATL","WAS","HOU","PHI","PIT","MIA","LAC","MN","NO","DET","LAR","JAX","DEN","NYG","SEA","31"
"TShelly","9","9","BAL","ATL","WAS","TEN","PHI","PIT","MIA","LAC","GB","NO","SF","LAR","NE","DEN","NYG","SEA","54"
"The Real Slim Brady","9","9","CIN","CAR","WAS","HOU","TB","KC","MIA","LAC","MN","CLE","SF","LAR","NE","DEN","NYG","SEA","0"
"jtyler15","8","8","BAL","CAR","WAS","HOU","PHI","KC","NYJ","LAC","MN","NO","SF","LAR","NE","DEN","NYG","CHI","41"
"GKAT28","8","8","BAL","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","MN","NO","SF","LAR","JAX","DEN","NYG","SEA","42"
"Sophie's Last Choice","8","8","BAL","CAR","WAS","TEN","PHI","KC","MIA","BUF","GB","NO","DET","LAR","NE","DEN","DAL","SEA","43"
"Mark_W","8","8","BAL","ATL","IND","HOU","PHI","PIT","NYJ","LAC","GB","NO","DET","LAR","NE","DEN","NYG","CHI","43"
"Pioneers85","8","8","BAL","ATL","WAS","HOU","PHI","PIT","NYJ","BUF","MN","NO","SF","LAR","JAX","DEN","NYG","CHI","39"
"StamfordPhil","8","8","BAL","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","MN","NO","SF","LAR","JAX","DEN","NYG","SEA","39"
"Boldman","8","8","BAL","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","MN","NO","SF","LAR","NE","DEN","NYG","CHI","43"
"TuesdayMorningQB","8","8","BAL","CAR","WAS","HOU","TB","PIT","NYJ","LAC","MN","NO","SF","LAR","NE","DEN","NYG","CHI","39"
"MSE-PA","8","8","BAL","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","MN","NO","SF","LAR","NE","DEN","NYG","CHI","43"
"Jack","8","8","BAL","ATL","WAS","HOU","PHI","PIT","MIA","LAC","GB","NO","SF","LAR","NE","OAK","DAL","SEA","44"
"stanley steamer","8","8","BAL","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","GB","NO","SF","LAR","NE","DEN","DAL","SEA","44"
"Nugget2018","8","8","BAL","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","MN","NO","SF","LAR","NE","DEN","DAL","SEA","44"
"Pauly12","8","8","BAL","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","MN","NO","SF","LAR","NE","DEN","NYG","CHI","44"
"Giant Blues","8","8","BAL","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","MN","NO","SF","LAR","NE","DEN","NYG","CHI","45"
"Bag 'n' Shoes","8","8","CIN","CAR","WAS","TEN","PHI","PIT","NYJ","LAC","GB","CLE","SF","LAR","NE","DEN","NYG","CHI","46"
"Chess Doc","8","8","BAL","ATL","IND","HOU","PHI","PIT","NYJ","BUF","GB","NO","SF","LAR","NE","OAK","DAL","CHI","46"
"Cramer","8","8","BAL","CAR","WAS","HOU","PHI","PIT","NYJ","BUF","MN","NO","SF","LAR","JAX","DEN","DAL","CHI","47"
"Go Pats!!!","8","8","BAL","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","GB","NO","SF","LAR","NE","DEN","DAL","SEA","33"
"Alec B","8","8","BAL","CAR","WAS","HOU","PHI","KC","NYJ","LAC","GB","NO","SF","LAR","NE","DEN","NYG","CHI","50"
"Lucky Laits","8","8","BAL","CAR","WAS","HOU","TB","PIT","MIA","LAC","MN","NO","DET","LAR","JAX","DEN","NYG","SEA","52"
"Teddy","8","8","BAL","ATL","WAS","HOU","PHI","KC","NYJ","BUF","GB","NO","SF","LAR","NE","DEN","DAL","SEA","27"
"Bill's Mafia","7","7","CIN","CAR","WAS","HOU","PHI","PIT","NYJ","LAC","MN","NO","DET","LAR","JAX","OAK","NYG","CHI","41"
"JMenacker","7","7","BAL","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","GB","NO","SF","LAR","NE","DEN","NYG","SEA","40"
"LARRY SHIVTGERALD","7","7","BAL","ATL","WAS","TEN","PHI","KC","NYJ","LAC","MN","NO","DET","LAR","NE","OAK","NYG","SEA","42"
"cammax716","7","7","BAL","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","MN","NO","SF","LAR","NE","DEN","NYG","SEA","39"
"They Might Be Giants!","7","7","BAL","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","GB","NO","SF","LAR","NE","OAK","NYG","CHI","39"
"BADBOYBILLY","7","7","BAL","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","GB","NO","SF","LAR","NE","DEN","NYG","SEA","44"
"SuperBowl 52 Champs","7","7","BAL","ATL","WAS","TEN","PHI","PIT","NYJ","BUF","MN","NO","SF","LAR","NE","DEN","NYG","SEA","44"
"Wentz is Jewish","7","7","BAL","CAR","WAS","HOU","PHI","PIT","NYJ","BUF","GB","NO","SF","LAR","JAX","DEN","NYG","CHI","38"
"GeveandSteveandStella","7","7","BAL","ATL","IND","HOU","PHI","PIT","MIA","LAC","GB","NO","DET","AZ","JAX","OAK","NYG","SEA","27"
"madbolt","6","6","BAL","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","MN","NO","SF","LAR","NE","OAK","NYG","SEA","39"
"Z-Man","6","6","BAL","ATL","WAS","HOU","PHI","PIT","NYJ","LAC","GB","NO","DET","LAR","NE","DEN","NYG","SEA","43"
