"","Score","Potential ScorePerfect: 16","LAC 29@KC 28","HOU 29@NYJ 22","CLE 17@DEN 16","GB 17@CHI 24","DET 13@BUF 14","TB 12@BAL 20","AZ 14@ATL 40","OAK 16@CIN 30","TEN 17@NYG 0","MIA 17@MN 41","WAS 16@JAX 13","DAL 0@IND 23","SEA 23@SF 26","NE 10@PIT 17","PHI 30@LAR 23","NO 12@CAR 9","Tie BreakerPredictionActual: 21"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"$man","9","9","KC","HOU","DEN","CHI","DET","BAL","ATL","CIN","TEN","MN","JAX","IND","SEA","NE","LAR","NO","48"
"Coachjoel57","9","9","KC","HOU","DEN","CHI","BUF","BAL","ATL","CIN","NYG","MN","JAX","IND","SEA","NE","LAR","NO","49"
"StamfordPhil","9","9","LAC","HOU","CLE","CHI","DET","BAL","ATL","CIN","NYG","MN","JAX","DAL","SEA","NE","LAR","NO","49"
"Saquads Scores!","9","9","LAC","HOU","DEN","CHI","BUF","BAL","ATL","OAK","NYG","MN","JAX","IND","SEA","NE","LAR","NO","51"
"MSE-PA","9","9","KC","HOU","DEN","CHI","BUF","BAL","ATL","CIN","NYG","MN","JAX","IND","SEA","NE","LAR","NO","52"
"Davs3b","9","9","KC","HOU","DEN","CHI","DET","BAL","ATL","CIN","TEN","MN","JAX","DAL","SEA","PIT","LAR","NO","53"
"Larry1223","9","9","KC","HOU","CLE","CHI","DET","BAL","ATL","CIN","TEN","MN","JAX","DAL","SEA","NE","LAR","NO","54"
"The Real Slim Brady","9","9","LAC","HOU","CLE","GB","DET","TB","ATL","CIN","TEN","MN","WAS","DAL","SEA","NE","LAR","NO","54"
"Pauly12","9","9","KC","HOU","CLE","CHI","BUF","BAL","ATL","CIN","TEN","MN","JAX","DAL","SEA","NE","LAR","CAR","55"
"Slugger53","9","9","KC","HOU","DEN","CHI","BUF","BAL","ATL","CIN","TEN","MIA","JAX","IND","SEA","NE","LAR","NO","58"
"stanley steamer","9","9","KC","HOU","CLE","CHI","DET","BAL","ATL","CIN","TEN","MN","JAX","DAL","SEA","NE","LAR","NO","62"
"GeveandSteveandStella","8","8","KC","HOU","CLE","CHI","BUF","TB","ATL","CIN","NYG","MIA","JAX","DAL","SEA","PIT","LAR","NO","33"
"GKAT28","8","8","KC","HOU","DEN","CHI","BUF","BAL","ATL","CIN","NYG","MN","JAX","IND","SEA","NE","LAR","CAR","40"
