"","Score","Potential ScorePerfect: 14","NE 19@TB 14","BUF 16@CIN 20","NYJ 17@CLE 14","CAR 27@DET 24","SF 23@IND 26","TEN 10@MIA 16","LAC 27@NYG 22","AZ 7@PHI 34","JAX 30@PIT 9","SEA 16@LAR 10","BAL 30@OAK 17","GB 35@DAL 31","KC 42@HOU 34","MN 20@CHI 17","Tie BreakerPredictionActual: 37"
"","","click for stats:","","","","","","","","","","","","","","","[?]"
"Big Blue 14","8","8","NE","CIN","CLE","DET","IND","TEN","NYG","PHI","PIT","SEA","OAK","GB","KC","MN","48"
"Philly Clete","8","8","NE","BUF","NYJ","CAR","SF","MIA","NYG","PHI","PIT","SEA","BAL","DAL","HOU","MN","55"
"Pioneers85","7","7","TB","CIN","NYJ","DET","IND","MIA","NYG","PHI","PIT","LAR","OAK","GB","HOU","MN","37"
"Giant Expectations","7","7","NE","BUF","NYJ","DET","SF","MIA","NYG","AZ","PIT","SEA","BAL","GB","HOU","MN","36"
"Howie's Hotdogs","7","7","NE","BUF","NYJ","DET","IND","TEN","NYG","PHI","PIT","LAR","OAK","GB","KC","MN","38"
"It's Wentz Time","7","7","TB","CIN","CLE","DET","SF","MIA","NYG","PHI","PIT","SEA","BAL","GB","HOU","MN","36"
"NadavSchwartz","7","7","-","BUF","CLE","DET","IND","MIA","NYG","PHI","PIT","SEA","BAL","GB","KC","CHI","35"
"Geve and Steve","7","7","NE","BUF","NYJ","DET","IND","TEN","NYG","PHI","PIT","SEA","OAK","GB","HOU","MN","40"
"maldo","7","7","NE","BUF","CLE","DET","IND","TEN","LAC","PHI","PIT","SEA","BAL","DAL","HOU","MN","40"
"margate kid","7","7","NE","BUF","NYJ","DET","IND","TEN","NYG","PHI","PIT","LAR","OAK","GB","KC","MN","40"
"howarddmd","7","7","NE","CIN","NYJ","DET","IND","TEN","NYG","AZ","PIT","SEA","OAK","DAL","KC","MN","41"
"nugget3016","7","7","NE","CIN","CLE","DET","IND","MIA","NYG","AZ","PIT","SEA","OAK","GB","HOU","MN","41"
"Fire Goodell","7","7","NE","BUF","CLE","CAR","IND","TEN","NYG","PHI","JAX","SEA","OAK","DAL","HOU","MN","31"
"Keith Sweat Tailor","7","7","NE","CIN","CLE","DET","IND","MIA","NYG","PHI","PIT","LAR","OAK","DAL","KC","MN","43"
"Rovner Team","7","7","NE","BUF","NYJ","CAR","IND","MIA","LAC","PHI","PIT","LAR","OAK","DAL","HOU","CHI","44"
"MSE=PA","7","7","NE","CIN","NYJ","DET","IND","TEN","NYG","PHI","PIT","LAR","OAK","GB","HOU","MN","44"
"Feins","7","7","TB","CIN","NYJ","DET","IND","MIA","NYG","PHI","PIT","SEA","OAK","GB","HOU","CHI","44"
"Torch","7","7","NE","CIN","NYJ","DET","IND","TEN","NYG","PHI","PIT","SEA","OAK","DAL","KC","CHI","45"
"Bag 'n' Shoes","7","7","NE","BUF","NYJ","DET","IND","TEN","NYG","PHI","PIT","SEA","BAL","DAL","KC","CHI","29"
"Chessdoc","7","7","NE","BUF","NYJ","CAR","IND","TEN","NYG","AZ","PIT","LAR","BAL","DAL","KC","MN","45"
"Slugger53","7","7","NE","BUF","CLE","DET","SF","MIA","NYG","PHI","PIT","LAR","BAL","GB","KC","MN","45"
"sdtrading","7","7","TB","CIN","NYJ","DET","IND","MIA","LAC","PHI","PIT","LAR","OAK","DAL","HOU","MN","48"
"Alta Kickers","7","7","NE","BUF","NYJ","DET","IND","MIA","LAC","PHI","PIT","SEA","OAK","DAL","HOU","CHI","25"
"jtyler15","7","7","NE","BUF","CLE","DET","IND","TEN","LAC","PHI","PIT","SEA","OAK","GB","KC","CHI","51"
"Lucky Laits","7","7","NE","CIN","CLE","CAR","IND","TEN","NYG","PHI","JAX","LAR","OAK","GB","HOU","CHI","53"
"Perjodi","6","6","NE","CIN","CLE","DET","SF","MIA","NYG","PHI","PIT","SEA","OAK","GB","HOU","CHI","35"
"Jaddie's Daddy","6","6","TB","CIN","NYJ","DET","IND","TEN","NYG","PHI","PIT","SEA","OAK","DAL","HOU","MN","35"
"Agent of S.H.E.L.A.","6","6","NE","BUF","CLE","DET","IND","MIA","NYG","PHI","PIT","LAR","OAK","DAL","KC","MN","40"
"HAPPYNESS","6","6","NE","CIN","CLE","DET","IND","TEN","NYG","PHI","PIT","LAR","OAK","DAL","KC","MN","40"
"POOL MEISTER","6","6","NE","BUF","NYJ","CAR","SF","TEN","NYG","PHI","PIT","LAR","OAK","GB","KC","CHI","41"
"CoachJoel57","6","6","TB","CIN","CLE","DET","IND","TEN","NYG","PHI","PIT","LAR","OAK","GB","KC","MN","31"
"Eggman","6","6","NE","CIN","NYJ","DET","SF","MIA","NYG","PHI","PIT","LAR","BAL","DAL","HOU","CHI","47"
"Jay and Sammy's Gramps","5","5","TB","BUF","CLE","DET","SF","MIA","NYG","PHI","PIT","SEA","BAL","DAL","HOU","MN","37"
"Cold Steel","5","5","NE","CIN","CLE","DET","IND","MIA","NYG","PHI","PIT","LAR","OAK","DAL","HOU","CHI","40"
"Balls Deep","5","5","NE","BUF","NYJ","DET","SF","TEN","NYG","PHI","PIT","LAR","BAL","GB","HOU","CHI","40"
"Benny","5","5","TB","CIN","NYJ","DET","SF","MIA","NYG","PHI","PIT","LAR","OAK","DAL","KC","CHI","41"
"Eggman366","5","5","NE","BUF","CLE","DET","SF","TEN","NYG","PHI","PIT","LAR","OAK","GB","KC","MN","33"
"Abos","5","5","TB","BUF","NYJ","DET","SF","MIA","NYG","PHI","PIT","LAR","BAL","GB","HOU","CHI","30"
"Brubabe","5","5","-","BUF","NYJ","DET","IND","MIA","NYG","PHI","PIT","LAR","OAK","DAL","HOU","MN","44"
"GoPats!!!","4","4","NE","BUF","CLE","DET","IND","MIA","NYG","PHI","PIT","LAR","OAK","DAL","HOU","CHI","37"
"madbolt","4","4","TB","BUF","CLE","DET","SF","MIA","NYG","PHI","PIT","SEA","OAK","GB","HOU","CHI","40"
"GKAT","4","4","TB","BUF","CLE","DET","IND","MIA","NYG","PHI","PIT","LAR","OAK","DAL","HOU","MN","40"
"The System","4","4","TB","BUF","CLE","CAR","IND","MIA","LAC","AZ","PIT","LAR","OAK","DAL","HOU","CHI","41"
"Dr. Blue","4","4","TB","BUF","CLE","DET","SF","MIA","NYG","PHI","PIT","SEA","BAL","DAL","HOU","CHI","41"
"TuesdayMorningQB","4","4","TB","BUF","NYJ","DET","SF","MIA","NYG","PHI","PIT","LAR","OAK","DAL","HOU","MN","44"
"Headly IV","3","3","NE","BUF","CLE","DET","SF","TEN","NYG","AZ","PIT","SEA","OAK","DAL","KC","CHI","41"
