"","Score","Potential ScorePerfect: 16","GB 11@DET 35","HOU 13@IND 22","CHI 10@MN 23","NYJ 6@NE 26","WAS 10@NYG 18","DAL 6@PHI 0","CLE 24@PIT 28","CAR 10@ATL 22","CIN 31@BAL 27","BUF 22@MIA 16","NO 24@TB 31","JAX 10@TEN 15","KC 27@DEN 24","OAK 10@LAC 30","SF 34@LAR 13","AZ 26@SEA 24","Tie BreakerPredictionActual: 50"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"Phillycheese","10","10","DET","IND","MN","NE","WAS","DAL","PIT","CAR","BAL","BUF","NO","JAX","KC","LAC","SF","SEA","36"
"jayandhisbubbe","10","10","DET","IND","MN","NE","WAS","DAL","PIT","CAR","BAL","BUF","NO","JAX","KC","LAC","SF","SEA","31"
"POOL MEISTER","9","9","DET","IND","MN","NE","WAS","PHI","PIT","CAR","BAL","BUF","NO","TEN","DEN","LAC","SF","SEA","50"
"Marc Cramer","9","9","DET","IND","MN","NE","WAS","PHI","PIT","ATL","BAL","MIA","NO","TEN","KC","LAC","LAR","SEA","44"
"MSE=PA","9","9","DET","IND","MN","NE","WAS","PHI","PIT","ATL","BAL","BUF","NO","JAX","KC","LAC","LAR","SEA","44"
"They Might Be Giants","9","9","DET","IND","MN","NE","NYG","PHI","PIT","ATL","BAL","BUF","NO","JAX","KC","OAK","LAR","SEA","43"
"GeverKriensky","9","9","DET","HOU","MN","NE","WAS","DAL","PIT","CAR","BAL","BUF","NO","TEN","DEN","LAC","SF","SEA","43"
"Abos","9","9","DET","HOU","MN","NE","WAS","DAL","PIT","ATL","BAL","BUF","NO","JAX","DEN","LAC","SF","SEA","42"
"Boldman","9","9","DET","IND","MN","NYJ","WAS","DAL","CLE","ATL","BAL","BUF","NO","TEN","DEN","LAC","SF","SEA","42"
"m_weinstein","9","9","DET","IND","MN","NE","NYG","PHI","PIT","CAR","BAL","BUF","NO","TEN","DEN","LAC","LAR","SEA","41"
"The Pickmaster","9","9","DET","IND","MN","NE","WAS","PHI","PIT","ATL","BAL","MIA","NO","JAX","KC","LAC","SF","SEA","41"
"Dr. Blue","9","9","DET","IND","MN","NE","NYG","PHI","CLE","CAR","BAL","BUF","NO","TEN","KC","LAC","LAR","SEA","41"
"Agent of S.H.E.L.A.","9","9","DET","IND","MN","NE","WAS","PHI","PIT","ATL","BAL","BUF","NO","JAX","KC","LAC","LAR","SEA","40"
"CTE DENIERS","9","9","DET","HOU","MN","NE","WAS","PHI","PIT","ATL","BAL","MIA","NO","TEN","KC","LAC","SF","SEA","40"
"tnrosen","9","9","DET","IND","MN","NE","WAS","DAL","PIT","CAR","BAL","BUF","NO","TEN","DEN","LAC","LAR","SEA","39"
"Jay and Sammy's Gramps","9","9","DET","IND","CHI","NE","WAS","DAL","PIT","ATL","BAL","MIA","NO","TEN","DEN","LAC","SF","SEA","39"
"Eggman366","9","9","DET","IND","MN","NE","WAS","PHI","PIT","CAR","BAL","BUF","NO","JAX","KC","LAC","SF","SEA","38"
"barry from miami","9","9","DET","IND","MN","NE","WAS","PHI","PIT","ATL","BAL","MIA","NO","JAX","KC","LAC","SF","SEA","38"
"Giant Expectations","9","9","DET","IND","MN","NE","WAS","DAL","PIT","ATL","BAL","MIA","NO","JAX","KC","LAC","LAR","SEA","36"
"Geve and Steve","9","9","DET","IND","CHI","NE","WAS","DAL","PIT","CAR","BAL","BUF","NO","JAX","KC","LAC","LAR","AZ","0"
"Big Blue 14","8","8","DET","IND","MN","NE","WAS","DAL","PIT","CAR","BAL","MIA","NO","JAX","KC","LAC","LAR","SEA","50"
"The System","8","8","DET","HOU","MN","NE","WAS","DAL","PIT","ATL","BAL","MIA","NO","TEN","DEN","LAC","LAR","SEA","51"
"Jack Korbutov","8","8","DET","HOU","MN","NE","WAS","PHI","PIT","ATL","BAL","BUF","NO","JAX","KC","LAC","LAR","SEA","48"
"mmillson","8","8","DET","IND","MN","NE","WAS","PHI","PIT","CAR","BAL","BUF","NO","JAX","KC","LAC","LAR","SEA","47"
"J Rosenthal","8","8","DET","IND","MN","NE","WAS","PHI","PIT","CAR","BAL","BUF","NO","JAX","KC","LAC","LAR","SEA","44"
"Torch","8","8","DET","HOU","MN","NE","WAS","DAL","PIT","ATL","BAL","MIA","NO","JAX","KC","LAC","LAR","SEA","44"
"Cold Steel","8","8","DET","IND","MN","NE","WAS","PHI","PIT","CAR","BAL","BUF","NO","JAX","KC","LAC","LAR","SEA","43"
"Fire Goodell","8","8","GB","HOU","MN","NE","WAS","PHI","PIT","ATL","CIN","BUF","NO","JAX","KC","LAC","LAR","SEA","42"
"davs3b","8","8","DET","HOU","MN","NE","WAS","PHI","PIT","ATL","BAL","MIA","NO","TEN","KC","LAC","LAR","SEA","40"
"Used to be BristolDr","8","8","DET","IND","MN","NE","WAS","PHI","PIT","ATL","BAL","BUF","NO","JAX","DEN","LAC","LAR","SEA","40"
"twinkletoes","8","8","GB","HOU","MN","NE","WAS","PHI","PIT","ATL","BAL","BUF","NO","JAX","KC","LAC","SF","SEA","38"
"Brubabe","8","8","DET","IND","MN","NE","WAS","PHI","PIT","ATL","BAL","MIA","NO","JAX","KC","LAC","LAR","SEA","36"
"HayMadEm","8","8","DET","IND","MN","NE","WAS","PHI","PIT","ATL","BAL","BUF","NO","JAX","DEN","OAK","SF","SEA","35"
"Borofskys","8","8","DET","IND","MN","NE","WAS","PHI","PIT","CAR","BAL","BUF","NO","TEN","DEN","LAC","LAR","SEA","0"
"Feins","7","7","GB","IND","MN","NE","WAS","PHI","PIT","CAR","BAL","BUF","NO","JAX","DEN","LAC","SF","SEA","48"
"GEO DOG","7","7","DET","HOU","MN","NE","WAS","PHI","PIT","CAR","BAL","BUF","NO","JAX","KC","LAC","LAR","SEA","52"
"Dorf","7","7","DET","HOU","CHI","NE","WAS","PHI","PIT","CAR","CIN","BUF","NO","JAX","KC","LAC","LAR","SEA","36"
"Alta Kickers","7","7","DET","IND","MN","NYJ","WAS","PHI","PIT","CAR","BAL","BUF","NO","TEN","KC","OAK","LAR","SEA","35"
"West Coast Best Coast","6","6","GB","HOU","MN","NE","WAS","PHI","PIT","ATL","BAL","MIA","NO","JAX","KC","LAC","LAR","SEA","44"
"Neal Scott","6","6","DET","IND","MN","NE","WAS","PHI","PIT","CAR","BAL","MIA","NO","JAX","DEN","LAC","LAR","SEA","44"
"Sophie's Last Choice","6","6","GB","HOU","MN","NE","WAS","PHI","PIT","CAR","BAL","BUF","NO","JAX","KC","LAC","LAR","SEA","43"
"mikemarkowitz","6","6","DET","IND","MN","NE","WAS","PHI","PIT","CAR","BAL","MIA","NO","JAX","DEN","LAC","LAR","SEA","32"
"Philly Clete","5","5","GB","HOU","CHI","NE","NYG","PHI","PIT","CAR","BAL","MIA","NO","TEN","DEN","LAC","LAR","SEA","56"
"jtyler15","5","5","GB","HOU","MN","NE","WAS","PHI","PIT","CAR","BAL","BUF","NO","JAX","KC","OAK","LAR","SEA","41"
"Just Monkeyin' Around","4","4","GB","HOU","MN","NE","WAS","PHI","PIT","CAR","BAL","MIA","NO","JAX","DEN","LAC","LAR","SEA","41"
"GKAT","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
"maldo","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
"NadavSchwartz","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
"Rovner Team","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
"mteitelman","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
