"","Score","Potential ScorePerfect: 16","IND 16@BAL 23","MN 16@GB 0","TB 19@CAR 22","CLE 3@CHI 20","DET 17@CIN 26","MIA 13@KC 29","BUF 16@NE 37","ATL 13@NO 23","LAC 14@NYJ 7","LAR 27@TEN 23","DEN 11@WAS 27","JAX 33@SF 44","NYG 0@AZ 23","SEA 21@DAL 12","PIT 34@HOU 6","OAK 10@PHI 19","Tie BreakerPredictionActual: 29"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"KINGOCARZ","13","13","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","WAS","JAX","AZ","DAL","PIT","PHI","53"
"Slugger53","13","13","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","WAS","JAX","AZ","SEA","HOU","PHI","54"
"CoachJoel57","13","13","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","WAS","JAX","AZ","DAL","PIT","PHI","55"
"nc7690","13","13","BAL","MN","CAR","CLE","CIN","KC","NE","NO","LAC","LAR","WAS","JAX","AZ","DAL","PIT","PHI","55"
"Eggman","13","13","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","WAS","JAX","AZ","DAL","PIT","PHI","57"
"J Rosenthal","13","13","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","WAS","JAX","AZ","DAL","PIT","PHI","59"
"GeverKriensky","12","12","BAL","MN","CAR","CLE","CIN","KC","NE","NO","LAC","LAR","DEN","JAX","AZ","DAL","PIT","PHI","34"
"Lucky Laits","12","12","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","WAS","JAX","NYG","SEA","HOU","PHI","41"
"Feins","12","12","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","DEN","JAX","AZ","DAL","PIT","PHI","42"
"West Coast Best Coast","12","12","BAL","MN","CAR","CHI","DET","MIA","NE","ATL","LAC","LAR","WAS","JAX","AZ","SEA","PIT","PHI","43"
"TuesdayMorningQB","12","12","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","DEN","JAX","AZ","DAL","PIT","PHI","43"
"Kosher Dill","12","12","BAL","MN","CAR","CLE","DET","KC","NE","NO","LAC","LAR","WAS","JAX","AZ","DAL","PIT","PHI","43"
"Rovner Team","12","12","BAL","MN","CAR","CLE","DET","MIA","NE","NO","LAC","LAR","WAS","JAX","AZ","SEA","PIT","PHI","44"
"Jaddie's Daddy","12","12","BAL","MN","CAR","CHI","DET","KC","NE","NO","NYJ","LAR","WAS","JAX","AZ","DAL","PIT","PHI","45"
"Giant Expectations","12","12","BAL","MN","CAR","CHI","DET","KC","NE","NO","NYJ","LAR","WAS","JAX","AZ","DAL","PIT","PHI","46"
"GmenBlues","12","12","BAL","MN","CAR","CHI","DET","KC","NE","NO","LAC","LAR","DEN","JAX","NYG","SEA","PIT","PHI","47"
"Sophie's Last Choice","12","12","BAL","GB","CAR","CHI","DET","KC","NE","NO","NYJ","LAR","WAS","JAX","AZ","SEA","PIT","PHI","47"
"Torch","12","12","BAL","MN","CAR","CHI","DET","KC","NE","NO","NYJ","LAR","DEN","JAX","AZ","SEA","PIT","PHI","48"
