"","Score","Potential ScorePerfect: 16","MN 30@DET 23","LAC 28@DAL 6","NYG 10@WAS 20","TB 20@ATL 34","CLE 16@CIN 30","TEN 20@IND 16","BUF 16@KC 10","MIA 17@NE 35","CAR 35@NYJ 27","CHI 3@PHI 31","SEA 24@SF 13","NO 20@LAR 26","JAX 24@AZ 27","DEN 14@OAK 21","GB 28@PIT 31","HOU 16@BAL 23","Tie BreakerPredictionActual: 39"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"Balls Deep","12","12","DET","LAC","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","NO","JAX","OAK","PIT","BAL","38"
"Brubabe","12","12","MN","DAL","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","NO","JAX","OAK","PIT","BAL","38"
"Pioneers85","12","12","MN","LAC","NYG","ATL","CIN","TEN","KC","NE","NYJ","PHI","SEA","NO","AZ","OAK","PIT","BAL","38"
"HAPPYNESS","12","12","DET","DAL","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","LAR","JAX","OAK","PIT","BAL","38"
"Torch","12","12","MN","DAL","WAS","ATL","CIN","TEN","KC","NE","NYJ","PHI","SEA","LAR","JAX","OAK","PIT","BAL","40"
"KINGOCARZ","12","12","DET","LAC","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","NO","JAX","OAK","PIT","BAL","38"
"Eggman366","12","12","MN","LAC","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","NO","JAX","OAK","PIT","HOU","38"
"Feins","12","12","MN","DAL","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","LAR","AZ","DEN","PIT","HOU","38"
"Agent of S.H.E.L.A.","12","12","MN","DAL","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","LAR","JAX","OAK","PIT","HOU","40"
"Dorf","12","12","DET","DAL","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","LAR","JAX","OAK","PIT","BAL","37"
"nugget3016","12","12","DET","DAL","WAS","ATL","CIN","IND","KC","NE","CAR","PHI","SEA","LAR","AZ","OAK","PIT","BAL","41"
"madbolt","12","12","DET","LAC","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","LAR","JAX","OAK","GB","BAL","41"
"Paradigm","12","12","MN","DAL","WAS","ATL","CIN","IND","KC","NE","CAR","PHI","SEA","LAR","JAX","OAK","PIT","BAL","42"
"m_weinstein","12","12","MN","DAL","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","NO","JAX","OAK","PIT","BAL","43"
"Marc Cramer","12","12","DET","DAL","WAS","ATL","CIN","IND","KC","NE","CAR","PHI","SEA","LAR","AZ","OAK","PIT","BAL","44"
"Geve and Steve","12","12","MN","DAL","NYG","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","LAR","JAX","OAK","PIT","BAL","44"
"The System","12","12","MN","LAC","WAS","ATL","CIN","IND","KC","NE","NYJ","PHI","SEA","LAR","JAX","OAK","PIT","BAL","44"
"JMenacker","12","12","MN","DAL","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","NO","JAX","OAK","PIT","BAL","45"
"Boldman","12","12","MN","LAC","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","NO","JAX","OAK","PIT","HOU","45"
"twinkletoes","12","12","DET","DAL","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","NO","AZ","OAK","PIT","BAL","46"
"NadavSchwartz","12","12","MN","DAL","WAS","TB","CIN","TEN","KC","NE","CAR","PHI","SEA","LAR","JAX","OAK","PIT","BAL","46"
"Mediocre Superiority","12","12","MN","DAL","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","NO","JAX","OAK","PIT","BAL","47"
"Borofskys","12","12","MN","DAL","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","NO","JAX","OAK","PIT","BAL","48"
"Alta Kickers","12","12","MN","DAL","WAS","ATL","CIN","TEN","BUF","NE","-","PHI","SEA","LAR","-","OAK","PIT","HOU","48"
"MSE=PA","12","12","MN","DAL","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","NO","JAX","OAK","PIT","BAL","48"
"Just Monkeyin' Around","12","12","MN","DAL","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","NO","AZ","DEN","PIT","BAL","52"
"Philly Clete","12","12","MN","LAC","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","NO","JAX","OAK","PIT","HOU","56"
"J Rosenthal","12","12","MN","DAL","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","NO","JAX","OAK","PIT","BAL","59"
"GeverKriensky","12","12","MN","DAL","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","NO","AZ","DEN","PIT","BAL","14"
"Petvet","11","11","DET","DAL","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","NO","JAX","OAK","PIT","BAL","38"
"maldo","11","11","-","DAL","WAS","ATL","CIN","IND","KC","NE","CAR","PHI","SEA","LAR","AZ","OAK","PIT","HOU","40"
"Giant Expectations","11","11","MN","DAL","NYG","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","NO","JAX","OAK","PIT","BAL","37"
"CaneCorbett","11","11","DET","DAL","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","NO","JAX","OAK","PIT","BAL","41"
"mmillson","11","11","DET","DAL","WAS","ATL","CIN","IND","KC","NE","CAR","PHI","SEA","LAR","JAX","OAK","PIT","BAL","42"
"GKAT","11","11","DET","DAL","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","LAR","JAX","OAK","PIT","HOU","44"
"Bag 'n' Shoes","11","11","DET","DAL","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","NO","AZ","OAK","PIT","HOU","34"
"Chessdoc","11","11","DET","DAL","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","NO","JAX","OAK","PIT","BAL","44"
"sdtrading","11","11","DET","DAL","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","NO","JAX","OAK","PIT","BAL","45"
"tonyppt","11","11","MN","DAL","WAS","ATL","CIN","IND","KC","NE","CAR","PHI","SEA","NO","JAX","OAK","PIT","BAL","45"
"mikemarkowitz","11","11","-","-","-","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","LAR","JAX","OAK","PIT","BAL","32"
"nc7690","11","11","-","LAC","WAS","ATL","CLE","TEN","KC","NE","CAR","PHI","SEA","NO","JAX","OAK","PIT","BAL","30"
"Benny","10","10","MN","DAL","WAS","ATL","CIN","IND","KC","NE","NYJ","PHI","SEA","NO","JAX","OAK","PIT","BAL","41"
"Kosher Dill","10","10","MN","DAL","NYG","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","NO","JAX","OAK","PIT","HOU","43"
"Lucky Laits","10","10","MN","LAC","NYG","TB","CIN","TEN","KC","NE","CAR","PHI","SEA","NO","JAX","OAK","PIT","HOU","47"
"GmenBlues","10","10","MN","DAL","NYG","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","-","JAX","DEN","PIT","BAL","47"
"Keith Sweat Tailor","10","10","DET","DAL","WAS","ATL","CLE","IND","KC","NE","NYJ","PHI","SEA","LAR","AZ","OAK","PIT","BAL","49"
"Slugger53","10","10","DET","DAL","WAS","ATL","CIN","IND","KC","NE","CAR","PHI","SEA","NO","JAX","OAK","PIT","BAL","50"
"jtyler15","10","10","DET","LAC","WAS","ATL","CIN","TEN","KC","NE","CAR","PHI","SEA","NO","JAX","DEN","PIT","HOU","51"
"They Might Be Giants","10","10","MN","DAL","NYG","ATL","CIN","IND","KC","NE","CAR","PHI","SEA","LAR","JAX","OAK","PIT","HOU","54"
"The Pickmaster","9","9","DET","LAC","NYG","ATL","CIN","IND","KC","NE","CAR","PHI","SEA","NO","JAX","DEN","PIT","BAL","36"
"Dr. Blue","9","9","-","LAC","NYG","ATL","CIN","TEN","KC","NE","NYJ","PHI","SEA","NO","JAX","OAK","PIT","HOU","43"
"Rovner Team","9","9","MN","DAL","WAS","ATL","CLE","IND","KC","NE","CAR","PHI","SEA","NO","JAX","OAK","PIT","HOU","44"
