"","Score","Potential ScorePerfect: 13","BUF 21@NYJ 34","ATL 17@CAR 20","IND 20@HOU 14","CIN 7@JAX 23","TB 10@NO 30","LAR 51@NYG 17","DEN 23@PHI 51","BAL 20@TEN 23","AZ 20@SF 10","WAS 17@SEA 14","KC 17@DAL 28","OAK 27@MIA 24","DET 30@GB 17","Tie BreakerPredictionActual: 47"
"","","click for stats:","","","","","","","","","","","","","","[?]"
"Used to be BristolDr","8","8","BUF","CAR","HOU","JAX","NO","LAR","PHI","TEN","AZ","SEA","KC","MIA","DET","42"
"Jack Korbutov","8","8","BUF","ATL","HOU","JAX","NO","LAR","PHI","TEN","AZ","SEA","KC","OAK","DET","41"
"They Might Be Giants","8","8","BUF","ATL","IND","JAX","NO","NYG","PHI","TEN","AZ","SEA","KC","OAK","DET","37"
"speedy","8","8","BUF","ATL","IND","JAX","NO","LAR","PHI","TEN","SF","SEA","DAL","MIA","DET","37"
"nc7690","8","8","BUF","ATL","HOU","JAX","NO","LAR","DEN","TEN","AZ","SEA","DAL","OAK","DET","37"
"mikemarkowitz","8","8","BUF","ATL","HOU","JAX","NO","LAR","PHI","TEN","AZ","SEA","KC","OAK","DET","36"
"Dorf","8","8","BUF","ATL","HOU","JAX","NO","LAR","PHI","BAL","AZ","SEA","DAL","OAK","DET","36"
"Marc Cramer","7","7","BUF","CAR","HOU","JAX","NO","NYG","PHI","TEN","SF","SEA","DAL","OAK","GB","47"
"Balls Deep","7","7","BUF","ATL","HOU","JAX","NO","LAR","PHI","BAL","AZ","SEA","KC","OAK","DET","47"
"Boldman","7","7","BUF","ATL","HOU","JAX","NO","LAR","PHI","BAL","AZ","SEA","KC","OAK","DET","45"
"Headly IV","7","7","BUF","ATL","HOU","JAX","NO","LAR","DEN","TEN","AZ","SEA","DAL","OAK","GB","44"
"TuesdayMorningQB","7","7","BUF","CAR","HOU","JAX","NO","LAR","PHI","BAL","AZ","SEA","KC","OAK","GB","44"
"Mediocre Superiority","7","7","BUF","ATL","HOU","JAX","NO","NYG","PHI","TEN","AZ","SEA","DAL","MIA","DET","44"
"Slugger53","7","7","BUF","ATL","HOU","JAX","NO","LAR","PHI","TEN","AZ","SEA","KC","OAK","GB","50"
"GKAT","7","7","BUF","CAR","HOU","JAX","NO","LAR","PHI","BAL","SF","SEA","DAL","OAK","GB","43"
"Big Blue 14","7","7","BUF","CAR","HOU","CIN","NO","LAR","PHI","BAL","AZ","SEA","KC","OAK","DET","43"
"Borofskys","7","7","BUF","ATL","HOU","CIN","NO","LAR","PHI","TEN","AZ","SEA","KC","OAK","DET","51"
"Alta Kickers","7","7","NYJ","ATL","HOU","CIN","NO","LAR","PHI","TEN","AZ","SEA","KC","OAK","GB","43"
"Eggman","7","7","BUF","ATL","HOU","JAX","NO","LAR","PHI","BAL","AZ","SEA","KC","OAK","DET","42"
"jayandhisbubbe","7","7","NYJ","ATL","HOU","JAX","NO","LAR","PHI","TEN","SF","SEA","KC","OAK","GB","41"
"maldo","7","7","BUF","ATL","HOU","JAX","NO","LAR","PHI","BAL","SF","WAS","KC","OAK","DET","40"
"Pioneers85","7","7","NYJ","CAR","HOU","JAX","NO","NYG","PHI","TEN","AZ","SEA","KC","MIA","GB","40"
"Agent of S.H.E.L.A.","7","7","BUF","CAR","IND","JAX","TB","NYG","PHI","BAL","AZ","SEA","KC","OAK","DET","40"
"twinkletoes","7","7","BUF","ATL","IND","CIN","NO","NYG","PHI","BAL","AZ","SEA","DAL","OAK","DET","38"
"mteitelman","7","7","BUF","CAR","HOU","JAX","NO","NYG","PHI","TEN","AZ","SEA","KC","OAK","GB","61"
"Eggman366","7","7","BUF","ATL","HOU","JAX","NO","LAR","PHI","TEN","SF","SEA","KC","OAK","DET","32"
"Fire Goodell","7","7","BUF","ATL","IND","CIN","NO","NYG","PHI","TEN","AZ","SEA","DAL","OAK","GB","31"
"Jay and Sammy's Gramps","6","6","BUF","ATL","HOU","JAX","NO","NYG","PHI","BAL","AZ","SEA","KC","OAK","DET","47"
"j3live","6","6","BUF","CAR","HOU","JAX","NO","LAR","PHI","BAL","SF","SEA","KC","OAK","GB","47"
"NadavSchwartz","6","6","BUF","ATL","HOU","JAX","NO","LAR","DEN","BAL","SF","SEA","DAL","OAK","DET","46"
"Torch","6","6","BUF","ATL","HOU","JAX","NO","NYG","PHI","TEN","SF","SEA","KC","OAK","DET","45"
"GeverKriensky","6","6","BUF","CAR","HOU","JAX","NO","LAR","PHI","BAL","SF","SEA","KC","OAK","GB","45"
"Badboybilly","6","6","BUF","CAR","HOU","JAX","NO","LAR","PHI","BAL","SF","SEA","KC","OAK","GB","44"
"POOL MEISTER","6","6","BUF","ATL","HOU","JAX","NO","LAR","PHI","BAL","SF","SEA","KC","OAK","DET","44"
"m_weinstein","6","6","BUF","ATL","HOU","JAX","NO","NYG","PHI","TEN","AZ","SEA","KC","OAK","GB","42"
"It's Wentz Time","6","6","BUF","ATL","HOU","JAX","NO","LAR","PHI","BAL","SF","SEA","KC","OAK","DET","52"
"madbolt","6","6","BUF","ATL","HOU","JAX","NO","LAR","PHI","TEN","SF","SEA","KC","MIA","DET","41"
"nugget3016","5","5","BUF","CAR","HOU","JAX","NO","NYG","PHI","BAL","AZ","SEA","KC","MIA","GB","47"
"Benny","5","5","BUF","CAR","HOU","JAX","NO","NYG","PHI","BAL","SF","SEA","KC","MIA","DET","48"
"The System","5","5","NYJ","CAR","HOU","CIN","NO","NYG","PHI","TEN","SF","SEA","KC","MIA","GB","44"
"Geve and Steve","5","5","BUF","ATL","HOU","JAX","TB","LAR","PHI","BAL","SF","WAS","KC","OAK","GB","43"
"cammax716","5","5","BUF","ATL","HOU","JAX","NO","LAR","PHI","BAL","SF","SEA","KC","OAK","GB","52"
"Keith Sweat Tailor","4","4","BUF","ATL","HOU","JAX","TB","NYG","DEN","TEN","SF","SEA","KC","OAK","DET","44"
"Giant Expectations","4","4","NYJ","ATL","HOU","CIN","NO","NYG","PHI","BAL","SF","SEA","KC","OAK","GB","32"
