,Name,total_wins,week_01,week_02,week_03,week_04,week_05,week_06,week_07,week_08,week_09,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17
26,Giant Expectations,159.0,12.0,13.0,8.0,6.0,7.0,5.0,9.0,11.0,4.0,10.0,10.0,11.0,13.0,6.0,13.0,12.0,9.0
27,GmenBlues,162.0,9.0,12.0,8.0,9.0,8.0,8.0,11.0,13.0,8.0,11.0,11.0,10.0,10.0,3.0,9.0,12.0,10.0
28,GoPats!!!,176.0,9.0,13.0,9.0,11.0,4.0,7.0,12.0,11.0,10.0,9.0,9.0,13.0,11.0,10.0,14.0,14.0,10.0
29,HAPPYNESS,173.0,12.0,10.0,7.0,9.0,6.0,6.0,13.0,11.0,10.0,11.0,9.0,12.0,11.0,8.0,15.0,13.0,10.0
30,HayMadEm,176.0,14.0,10.0,7.0,9.0,9.0,10.0,11.0,12.0,9.0,10.0,10.0,13.0,11.0,8.0,12.0,13.0,8.0
31,Headly IV,151.0,11.0,11.0,8.0,7.0,3.0,5.0,8.0,10.0,7.0,3.0,7.0,13.0,12.0,8.0,13.0,14.0,11.0
32,Howie's Hotdogs,163.0,10.0,10.0,8.0,11.0,7.0,0.0,10.0,10.0,8.0,12.0,9.0,13.0,9.0,10.0,12.0,14.0,10.0
33,It's Wentz Time,170.0,12.0,13.0,9.0,10.0,7.0,5.0,11.0,11.0,6.0,10.0,10.0,13.0,11.0,7.0,11.0,13.0,11.0
34,J Rosenthal,169.0,11.0,11.0,7.0,7.0,9.0,6.0,13.0,12.0,9.0,11.0,10.0,12.0,9.0,9.0,12.0,13.0,8.0
35,JMenacker,174.0,12.0,11.0,9.0,11.0,9.0,6.0,12.0,11.0,9.0,9.0,10.0,12.0,10.0,8.0,12.0,12.0,11.0
36,Jack Korbutov,176.0,11.0,12.0,9.0,9.0,9.0,7.0,11.0,10.0,8.0,12.0,9.0,14.0,10.0,12.0,12.0,13.0,8.0
37,Jaddie's Daddy,170.0,10.0,14.0,8.0,9.0,6.0,6.0,11.0,10.0,9.0,9.0,9.0,13.0,12.0,8.0,12.0,12.0,12.0
38,Jay and Sammy's Gramps,163.0,10.0,13.0,10.0,9.0,5.0,5.0,11.0,9.0,6.0,9.0,9.0,13.0,10.0,9.0,13.0,13.0,9.0
39,Just Monkeyin' Around,164.0,9.0,10.0,12.0,9.0,9.0,8.0,9.0,9.0,8.0,11.0,10.0,12.0,10.0,10.0,10.0,14.0,4.0
40,KINGOCARZ,180.0,11.0,12.0,9.0,12.0,8.0,7.0,12.0,11.0,9.0,10.0,10.0,12.0,11.0,12.0,11.0,13.0,10.0
41,Keith Sweat Tailor,156.0,10.0,12.0,9.0,5.0,7.0,6.0,11.0,10.0,4.0,11.0,9.0,10.0,10.0,7.0,11.0,10.0,14.0
42,Kosher Dill,162.0,8.0,13.0,4.0,8.0,8.0,8.0,9.0,9.0,9.0,11.0,8.0,10.0,14.0,7.0,12.0,12.0,12.0
43,Lucky Laits,153.0,12.0,12.0,6.0,7.0,7.0,5.0,6.0,11.0,8.0,11.0,6.0,10.0,13.0,6.0,11.0,12.0,10.0
44,MSE=PA,166.0,11.0,11.0,8.0,8.0,7.0,4.0,11.0,12.0,8.0,11.0,8.0,12.0,12.0,7.0,13.0,14.0,9.0
45,Marc Cramer,167.0,12.0,9.0,12.0,8.0,8.0,7.0,12.0,11.0,7.0,10.0,8.0,12.0,11.0,10.0,9.0,12.0,9.0
46,Mediocre Superiority,170.0,11.0,12.0,8.0,12.0,10.0,7.0,9.0,11.0,7.0,11.0,9.0,12.0,10.0,6.0,14.0,11.0,10.0
47,NadavSchwartz,146.0,7.0,10.0,10.0,10.0,7.0,8.0,8.0,12.0,6.0,9.0,7.0,12.0,10.0,8.0,11.0,11.0,0.0
48,Neal Scott,167.0,11.0,10.0,7.0,9.0,9.0,6.0,12.0,11.0,9.0,11.0,9.0,13.0,10.0,8.0,12.0,14.0,6.0
49,POOL MEISTER,163.0,10.0,11.0,8.0,10.0,6.0,7.0,10.0,11.0,6.0,10.0,8.0,13.0,12.0,9.0,10.0,13.0,9.0
50,Paradigm,170.0,11.0,12.0,8.0,10.0,9.0,6.0,10.0,11.0,9.0,10.0,9.0,12.0,9.0,10.0,11.0,13.0,10.0
51,Perjodi,172.0,12.0,10.0,8.0,10.0,6.0,6.0,11.0,10.0,8.0,11.0,10.0,12.0,11.0,9.0,13.0,14.0,11.0
52,Petvet,175.0,10.0,10.0,10.0,9.0,10.0,5.0,13.0,12.0,11.0,8.0,9.0,11.0,12.0,8.0,14.0,13.0,10.0
53,Philly Clete,163.0,11.0,11.0,8.0,9.0,8.0,7.0,10.0,11.0,9.0,13.0,8.0,12.0,7.0,9.0,11.0,14.0,5.0
54,Phillycheese,168.0,10.0,11.0,8.0,10.0,12.0,5.0,11.0,9.0,8.0,10.0,8.0,13.0,10.0,7.0,13.0,13.0,10.0
55,Pioneers85,156.0,8.0,12.0,10.0,8.0,7.0,7.0,10.0,8.0,7.0,7.0,9.0,12.0,11.0,8.0,11.0,10.0,11.0
56,RichieRich$$,179.0,12.0,11.0,11.0,6.0,8.0,8.0,9.0,11.0,10.0,10.0,11.0,13.0,12.0,12.0,12.0,13.0,10.0
57,Rovner Team,155.0,11.0,15.0,9.0,8.0,7.0,7.0,10.0,10.0,8.0,11.0,9.0,9.0,12.0,6.0,11.0,12.0,0.0
58,Slugger53,161.0,12.0,10.0,8.0,10.0,7.0,6.0,10.0,11.0,7.0,11.0,8.0,10.0,10.0,9.0,9.0,13.0,10.0
59,Sophie's Last Choice,154.0,9.0,12.0,8.0,7.0,8.0,5.0,11.0,10.0,8.0,10.0,8.0,13.0,9.0,8.0,10.0,12.0,6.0
60,Sparky,181.0,9.0,10.0,9.0,12.0,9.0,5.0,12.0,12.0,10.0,9.0,12.0,13.0,13.0,8.0,14.0,14.0,10.0
61,TShelly,162.0,9.0,10.0,7.0,9.0,8.0,5.0,10.0,9.0,8.0,13.0,9.0,13.0,11.0,7.0,13.0,11.0,10.0
62,The Pickmaster,157.0,5.0,13.0,7.0,10.0,8.0,6.0,12.0,11.0,8.0,8.0,8.0,9.0,12.0,7.0,14.0,10.0,9.0
63,The System,150.0,10.0,12.0,7.0,7.0,4.0,12.0,7.0,8.0,5.0,10.0,8.0,12.0,12.0,7.0,10.0,11.0,8.0
64,They Might Be Giants,137.0,10.0,11.0,9.0,8.0,8.0,4.0,7.0,9.0,8.0,10.0,8.0,10.0,9.0,7.0,10.0,0.0,9.0
65,Torch,166.0,12.0,10.0,9.0,10.0,7.0,8.0,9.0,12.0,6.0,11.0,11.0,12.0,9.0,8.0,12.0,12.0,8.0
66,TuesdayMorningQB,160.0,11.0,12.0,8.0,8.0,4.0,6.0,9.0,10.0,7.0,8.0,7.0,13.0,10.0,10.0,15.0,12.0,10.0
67,Used to be BristolDr,167.0,11.0,11.0,8.0,10.0,8.0,5.0,11.0,10.0,8.0,10.0,9.0,13.0,13.0,9.0,13.0,10.0,8.0
68,West Coast Best Coast,169.0,9.0,11.0,10.0,11.0,9.0,3.0,11.0,10.0,11.0,11.0,11.0,13.0,10.0,8.0,13.0,12.0,6.0
69,barry from miami,173.0,12.0,12.0,7.0,9.0,10.0,4.0,12.0,11.0,8.0,11.0,9.0,13.0,13.0,8.0,12.0,13.0,9.0
70,cammax716,177.0,13.0,12.0,7.0,11.0,8.0,6.0,11.0,10.0,5.0,12.0,10.0,12.0,9.0,12.0,15.0,14.0,10.0
71,davs3b,165.0,12.0,10.0,9.0,10.0,9.0,6.0,10.0,9.0,8.0,10.0,8.0,12.0,12.0,9.0,11.0,12.0,8.0
72,howarddmd,173.0,12.0,11.0,7.0,10.0,7.0,7.0,13.0,11.0,10.0,10.0,10.0,13.0,11.0,5.0,12.0,13.0,11.0
73,j3live,171.0,12.0,12.0,7.0,9.0,8.0,7.0,9.0,10.0,6.0,10.0,11.0,13.0,10.0,12.0,12.0,13.0,10.0
74,jayandhisbubbe,162.0,5.0,12.0,6.0,10.0,8.0,6.0,9.0,12.0,7.0,11.0,7.0,13.0,12.0,10.0,12.0,12.0,10.0
75,jtyler15,160.0,11.0,10.0,7.0,11.0,7.0,6.0,11.0,11.0,8.0,11.0,11.0,10.0,9.0,6.0,13.0,13.0,5.0
76,m_weinstein,167.0,13.0,8.0,11.0,10.0,8.0,6.0,10.0,11.0,6.0,10.0,9.0,12.0,11.0,10.0,13.0,10.0,9.0
77,madbolt,155.0,10.0,14.0,8.0,6.0,4.0,7.0,11.0,8.0,6.0,9.0,5.0,12.0,10.0,9.0,13.0,11.0,12.0
78,maldo,144.0,10.0,10.0,10.0,10.0,7.0,7.0,8.0,11.0,7.0,11.0,7.0,11.0,12.0,0.0,13.0,10.0,0.0
79,margate kid,175.0,11.0,13.0,7.0,10.0,7.0,5.0,12.0,12.0,8.0,11.0,9.0,14.0,12.0,9.0,13.0,12.0,10.0
80,mikemarkowitz,153.0,13.0,15.0,9.0,9.0,9.0,5.0,10.0,10.0,8.0,8.0,9.0,11.0,10.0,8.0,13.0,0.0,6.0
81,mmillson,157.0,11.0,10.0,8.0,9.0,10.0,3.0,8.0,10.0,8.0,11.0,9.0,11.0,7.0,10.0,11.0,13.0,8.0
82,mteitelman,145.0,11.0,13.0,8.0,8.0,9.0,5.0,9.0,12.0,7.0,9.0,11.0,12.0,9.0,11.0,11.0,0.0,0.0
83,nc7690,168.0,9.0,14.0,9.0,8.0,8.0,4.0,12.0,11.0,8.0,11.0,7.0,11.0,13.0,8.0,11.0,13.0,11.0
84,nugget3016,173.0,11.0,12.0,7.0,9.0,7.0,7.0,12.0,12.0,5.0,11.0,9.0,12.0,10.0,12.0,12.0,13.0,12.0
85,sdtrading,175.0,10.0,12.0,9.0,10.0,7.0,6.0,11.0,11.0,9.0,9.0,10.0,11.0,12.0,11.0,14.0,13.0,10.0
86,speedy,162.0,8.0,11.0,8.0,9.0,9.0,6.0,11.0,10.0,8.0,9.0,9.0,13.0,10.0,7.0,14.0,10.0,10.0
87,tnrosen,179.0,12.0,13.0,7.0,9.0,10.0,8.0,12.0,11.0,10.0,10.0,10.0,13.0,12.0,7.0,13.0,13.0,9.0
88,tonyppt,178.0,10.0,13.0,8.0,9.0,10.0,7.0,10.0,13.0,10.0,11.0,13.0,11.0,11.0,9.0,12.0,11.0,10.0
89,twinkletoes,166.0,11.0,11.0,8.0,10.0,8.0,9.0,9.0,12.0,7.0,8.0,9.0,12.0,6.0,11.0,13.0,14.0,8.0
