,Name,total_wins,week_01,week_02,week_03,week_04,week_05,week_06,week_07,week_08,week_09,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17
0,Abos,168.0,12.0,13.0,9.0,9.0,5.0,5.0,11.0,10.0,8.0,11.0,8.0,14.0,11.0,9.0,11.0,13.0,9.0
1,Agent of S.H.E.L.A.,141.0,7.0,7.0,9.0,8.0,6.0,5.0,10.0,7.0,7.0,3.0,9.0,12.0,11.0,7.0,13.0,11.0,9.0
2,Alta Kickers,165.0,10.0,11.0,9.0,11.0,7.0,6.0,9.0,12.0,7.0,10.0,11.0,12.0,10.0,10.0,11.0,12.0,7.0
3,Badboybilly,176.0,11.0,11.0,8.0,10.0,10.0,5.0,10.0,11.0,6.0,13.0,12.0,13.0,12.0,9.0,11.0,14.0,10.0
4,Bag 'n' Shoes,170.0,9.0,9.0,8.0,8.0,7.0,10.0,11.0,13.0,11.0,9.0,10.0,11.0,11.0,10.0,12.0,10.0,11.0
5,Balls Deep,158.0,14.0,12.0,9.0,8.0,5.0,5.0,9.0,0.0,7.0,10.0,9.0,12.0,12.0,9.0,13.0,12.0,12.0
6,Benny,153.0,10.0,11.0,8.0,9.0,5.0,5.0,12.0,11.0,5.0,9.0,7.0,10.0,11.0,7.0,12.0,11.0,10.0
7,Big Blue 14,158.0,10.0,11.0,6.0,11.0,8.0,5.0,10.0,11.0,7.0,8.0,7.0,13.0,11.0,7.0,13.0,12.0,8.0
8,Boldman,165.0,11.0,12.0,6.0,9.0,9.0,7.0,7.0,12.0,7.0,10.0,10.0,12.0,12.0,10.0,12.0,10.0,9.0
9,Borofskys,172.0,10.0,12.0,9.0,10.0,9.0,7.0,11.0,11.0,7.0,12.0,10.0,12.0,9.0,8.0,13.0,14.0,8.0
10,Brubabe,166.0,12.0,11.0,8.0,10.0,5.0,4.0,13.0,10.0,9.0,10.0,11.0,12.0,12.0,9.0,9.0,13.0,8.0
11,CTE DENIERS,175.0,11.0,11.0,9.0,9.0,9.0,5.0,11.0,12.0,10.0,9.0,8.0,13.0,12.0,11.0,12.0,14.0,9.0
12,CaneCorbett,171.0,12.0,11.0,7.0,11.0,10.0,6.0,10.0,11.0,8.0,9.0,9.0,11.0,10.0,8.0,15.0,13.0,10.0
13,Chessdoc,162.0,11.0,8.0,11.0,8.0,7.0,4.0,10.0,10.0,9.0,9.0,7.0,11.0,11.0,9.0,12.0,14.0,11.0
14,CoachJoel57,171.0,12.0,9.0,6.0,9.0,6.0,6.0,12.0,10.0,9.0,11.0,8.0,13.0,14.0,10.0,13.0,13.0,10.0
15,Cold Steel,166.0,11.0,11.0,8.0,10.0,5.0,5.0,12.0,11.0,9.0,10.0,9.0,12.0,12.0,8.0,13.0,12.0,8.0
16,Dorf,157.0,12.0,10.0,7.0,11.0,8.0,4.0,12.0,9.0,8.0,11.0,10.0,12.0,9.0,2.0,12.0,13.0,7.0
17,Dr. Blue,153.0,11.0,12.0,7.0,8.0,4.0,5.0,8.0,11.0,9.0,9.0,9.0,9.0,14.0,10.0,7.0,11.0,9.0
18,Eggman,179.0,13.0,12.0,11.0,10.0,6.0,6.0,11.0,11.0,7.0,9.0,9.0,13.0,12.0,10.0,13.0,13.0,13.0
19,Eggman366,151.0,11.0,4.0,7.0,9.0,5.0,5.0,13.0,11.0,7.0,2.0,9.0,12.0,14.0,8.0,13.0,12.0,9.0
20,Feins,167.0,11.0,11.0,9.0,9.0,7.0,7.0,12.0,9.0,9.0,10.0,9.0,12.0,11.0,12.0,10.0,12.0,7.0
21,Fire Goodell,157.0,9.0,11.0,12.0,8.0,7.0,8.0,10.0,10.0,7.0,8.0,9.0,14.0,12.0,9.0,9.0,6.0,8.0
22,GEO DOG,171.0,12.0,11.0,6.0,10.0,9.0,5.0,13.0,11.0,8.0,9.0,10.0,13.0,11.0,11.0,11.0,14.0,7.0
23,GKAT,147.0,12.0,10.0,8.0,8.0,4.0,4.0,1.0,13.0,7.0,13.0,8.0,11.0,11.0,10.0,14.0,13.0,0.0
24,Geve and Steve,156.0,11.0,9.0,8.0,9.0,7.0,9.0,7.0,10.0,5.0,10.0,7.0,12.0,11.0,8.0,13.0,11.0,9.0
25,GeverKriensky,164.0,11.0,13.0,8.0,8.0,10.0,8.0,11.0,9.0,6.0,11.0,7.0,12.0,9.0,8.0,12.0,12.0,9.0
