"","Score","Potential ScorePerfect: 13","MIA 0@BAL 40","MN 33@CLE 16","OAK 14@BUF 34","IND 23@CIN 24","LAC 13@NE 21","CHI 12@NO 20","ATL 25@NYJ 20","SF 10@PHI 33","CAR 17@TB 3","HOU 38@SEA 41","DAL 33@WAS 19","PIT 20@DET 15","DEN 19@KC 29","Tie BreakerPredictionActual: 48"
"","","click for stats:","","","","","","","","","","","","","","[?]"
"maldo","11","11","MIA","MN","OAK","CIN","NE","NO","ATL","PHI","CAR","SEA","DAL","PIT","KC","40"
"tnrosen","11","11","BAL","MN","OAK","CIN","NE","NO","ATL","PHI","CAR","SEA","WAS","PIT","KC","40"
"Philly Clete","11","11","BAL","MN","OAK","IND","NE","NO","ATL","PHI","CAR","SEA","DAL","PIT","KC","56"
"Lucky Laits","11","11","MIA","MN","BUF","CIN","NE","NO","ATL","PHI","CAR","SEA","DAL","DET","KC","40"
"Mediocre Superiority","11","11","BAL","MN","BUF","CIN","NE","NO","ATL","PHI","TB","SEA","DAL","PIT","DEN","39"
"Dr. Blue","11","11","BAL","MN","BUF","CIN","NE","NO","ATL","PHI","TB","SEA","DAL","PIT","DEN","39"
"nc7690","11","11","BAL","MN","OAK","CIN","NE","NO","ATL","PHI","CAR","HOU","DAL","PIT","KC","38"
"Paradigm","11","11","BAL","MN","OAK","IND","NE","NO","ATL","PHI","CAR","SEA","DAL","PIT","KC","38"
"The Pickmaster","11","11","-","MN","BUF","CIN","NE","NO","NYJ","PHI","CAR","SEA","DAL","PIT","KC","38"
"It's Wentz Time","11","11","MIA","MN","OAK","CIN","NE","NO","ATL","PHI","CAR","SEA","DAL","PIT","KC","37"
"RichieRich$$","11","11","BAL","MN","OAK","CIN","NE","NO","ATL","PHI","CAR","SEA","DAL","DET","KC","37"
"Eggman","11","11","MIA","MN","OAK","CIN","NE","NO","ATL","PHI","CAR","SEA","DAL","PIT","KC","31"
"CoachJoel57","10","10","BAL","MN","BUF","CIN","NE","NO","ATL","PHI","TB","SEA","WAS","DET","KC","49"
"TuesdayMorningQB","10","10","MIA","MN","OAK","CIN","NE","NO","ATL","PHI","CAR","SEA","WAS","PIT","KC","47"
"mmillson","10","10","-","MN","OAK","CIN","NE","CHI","ATL","PHI","CAR","SEA","DAL","PIT","KC","49"
"Geve and Steve","10","10","BAL","MN","BUF","IND","NE","NO","NYJ","PHI","CAR","SEA","WAS","PIT","KC","50"
"Keith Sweat Tailor","10","10","BAL","MN","BUF","CIN","NE","NO","ATL","PHI","TB","SEA","WAS","DET","KC","46"
"Brubabe","10","10","BAL","MN","BUF","CIN","NE","NO","ATL","PHI","TB","SEA","WAS","DET","KC","45"
"Headly IV","10","10","MIA","MN","BUF","CIN","NE","NO","ATL","PHI","CAR","HOU","DAL","DET","KC","51"
"Used to be BristolDr","10","10","BAL","MN","BUF","CIN","NE","NO","ATL","PHI","TB","SEA","WAS","DET","KC","45"
"Rovner Team","10","10","MIA","MN","OAK","CIN","NE","NO","ATL","PHI","CAR","HOU","DAL","PIT","KC","44"
"Perjodi","10","10","BAL","MN","OAK","CIN","NE","NO","ATL","PHI","TB","SEA","WAS","PIT","KC","43"
"Sophie's Last Choice","10","10","BAL","MN","BUF","CIN","NE","NO","ATL","PHI","TB","HOU","DAL","DET","KC","53"
"Howie's Hotdogs","10","10","BAL","MN","BUF","CIN","NE","NO","NYJ","PHI","TB","SEA","WAS","PIT","KC","43"
"Fire Goodell","10","10","MIA","MN","BUF","CIN","NE","CHI","ATL","PHI","CAR","SEA","WAS","PIT","KC","42"
"Jack Korbutov","10","10","MIA","MN","OAK","CIN","NE","NO","ATL","PHI","CAR","SEA","WAS","PIT","KC","41"
"j3live","10","10","BAL","MN","BUF","CIN","NE","NO","ATL","PHI","TB","SEA","WAS","DET","KC","41"
"West Coast Best Coast","10","10","BAL","MN","BUF","CIN","NE","NO","NYJ","PHI","TB","SEA","WAS","PIT","KC","40"
"Jaddie's Daddy","10","10","BAL","MN","OAK","CIN","NE","NO","NYJ","PHI","TB","SEA","DAL","PIT","KC","40"
"Chessdoc","10","10","-","MN","OAK","CIN","NE","NO","ATL","PHI","CAR","SEA","DAL","DET","KC","38"
"cammax716","10","10","BAL","MN","BUF","CIN","NE","NO","NYJ","PHI","TB","SEA","DAL","DET","KC","36"
"Abos","10","10","MIA","MN","BUF","IND","NE","NO","ATL","PHI","TB","SEA","DAL","PIT","KC","35"
"speedy","10","10","BAL","MN","OAK","CIN","NE","NO","NYJ","PHI","CAR","SEA","WAS","PIT","KC","34"
"mikemarkowitz","10","10","MIA","MN","BUF","CIN","NE","NO","ATL","PHI","CAR","HOU","DAL","DET","KC","32"
"davs3b","9","9","MIA","MN","OAK","CIN","NE","NO","ATL","PHI","TB","SEA","WAS","PIT","KC","48"
"Feins","9","9","MIA","MN","OAK","IND","NE","NO","NYJ","PHI","CAR","SEA","DAL","PIT","KC","48"
"They Might Be Giants","9","9","BAL","MN","OAK","CIN","NE","NO","NYJ","PHI","TB","HOU","DAL","PIT","KC","49"
"Just Monkeyin' Around","9","9","MIA","MN","OAK","CIN","LAC","NO","ATL","PHI","CAR","SEA","WAS","PIT","KC","43"
"Kosher Dill","9","9","MIA","MN","BUF","CIN","NE","NO","ATL","PHI","TB","HOU","WAS","PIT","KC","43"
"Phillycheese","9","9","BAL","MN","BUF","CIN","NE","NO","NYJ","PHI","TB","HOU","WAS","PIT","KC","42"
"Jay and Sammy's Gramps","9","9","MIA","MN","BUF","CIN","LAC","NO","ATL","PHI","TB","HOU","DAL","PIT","KC","42"
"TShelly","9","9","BAL","MN","OAK","CIN","NE","NO","ATL","PHI","TB","HOU","WAS","PIT","KC","38"
"Dorf","9","9","MIA","MN","BUF","CIN","NE","NO","ATL","PHI","TB","HOU","DAL","DET","KC","36"
"GeverKriensky","9","9","BAL","MN","OAK","IND","NE","NO","ATL","PHI","TB","SEA","DAL","DET","KC","35"
"Pioneers85","8","8","MIA","MN","BUF","CIN","NE","NO","NYJ","PHI","TB","HOU","WAS","PIT","KC","49"
"The System","8","8","MIA","MN","BUF","CIN","NE","NO","ATL","PHI","TB","HOU","WAS","DET","KC","44"
"madbolt","8","8","BAL","MN","OAK","CIN","NE","NO","NYJ","PHI","CAR","HOU","WAS","DET","KC","41"
"Agent of S.H.E.L.A.","7","7","MIA","MN","OAK","CIN","NE","CHI","NYJ","PHI","CAR","SEA","WAS","PIT","DEN","40"
"Balls Deep","0","0","MIA","-","-","-","-","-","-","-","-","-","-","-","-","0"
