"","Score","Potential ScorePerfect: 14","PHI 28@CAR 23","MIA 20@ATL 17","CHI 27@BAL 24","CLE 17@HOU 33","GB 10@MN 23","DET 38@NO 52","NE 24@NYJ 17","SF 24@WAS 26","TB 33@AZ 38","LAR 27@JAX 17","PIT 19@KC 13","LAC 17@OAK 16","NYG 23@DEN 10","IND 22@TEN 36","Tie BreakerPredictionActual: 58"
"","","click for stats:","","","","","","","","","","","","","","","[?]"
"J Rosenthal","6","6","PHI","ATL","BAL","HOU","GB","DET","NE","WAS","TB","JAX","KC","LAC","DEN","TEN","42"
"davs3b","6","6","PHI","ATL","BAL","HOU","GB","NO","NE","WAS","AZ","JAX","KC","OAK","DEN","IND","41"
"speedy","6","6","CAR","ATL","BAL","HOU","GB","DET","NE","WAS","AZ","JAX","KC","LAC","DEN","TEN","41"
"Paradigm","6","6","CAR","ATL","BAL","HOU","GB","NO","NE","WAS","AZ","LAR","KC","OAK","DEN","IND","41"
"jayandhisbubbe","6","6","PHI","ATL","BAL","HOU","GB","NO","NE","WAS","TB","JAX","KC","OAK","DEN","TEN","41"
"Eggman","6","6","CAR","ATL","BAL","HOU","GB","NO","NE","WAS","AZ","JAX","KC","OAK","DEN","TEN","38"
"cammax716","6","6","PHI","ATL","BAL","HOU","GB","DET","NE","WAS","TB","LAR","KC","OAK","DEN","TEN","36"
"jtyler15","6","6","PHI","ATL","BAL","HOU","GB","NO","NE","WAS","TB","JAX","PIT","OAK","DEN","IND","34"
"Jaddie's Daddy","6","6","CAR","ATL","BAL","HOU","GB","NO","NE","WAS","AZ","JAX","KC","OAK","DEN","TEN","33"
"CoachJoel57","6","6","CAR","ATL","BAL","HOU","GB","NO","NE","WAS","TB","LAR","KC","OAK","DEN","TEN","28"
"CTE DENIERS","5","5","CAR","ATL","BAL","HOU","GB","NO","NE","WAS","TB","JAX","KC","OAK","DEN","TEN","54"
"Big Blue 14","5","5","CAR","ATL","BAL","HOU","GB","NO","NE","WAS","TB","JAX","KC","OAK","DEN","TEN","51"
"Lucky Laits","5","5","CAR","ATL","BAL","CLE","GB","NO","NE","WAS","TB","JAX","KC","OAK","NYG","TEN","50"
"Headly IV","5","5","CAR","ATL","BAL","HOU","GB","DET","NE","WAS","TB","LAR","KC","OAK","DEN","TEN","48"
"Cold Steel","5","5","CAR","ATL","BAL","HOU","GB","NO","NE","WAS","TB","JAX","KC","OAK","DEN","TEN","48"
"GEO DOG","5","5","PHI","ATL","BAL","HOU","GB","DET","NE","WAS","TB","JAX","KC","OAK","DEN","TEN","48"
"Sophie's Last Choice","5","5","PHI","ATL","BAL","HOU","GB","NO","NE","WAS","TB","JAX","KC","OAK","DEN","IND","47"
"Phillycheese","5","5","CAR","ATL","BAL","HOU","GB","NO","NE","WAS","TB","JAX","KC","OAK","DEN","TEN","44"
"TShelly","5","5","CAR","ATL","BAL","HOU","GB","NO","NE","WAS","TB","JAX","KC","OAK","DEN","TEN","43"
"Dr. Blue","5","5","CAR","ATL","CHI","HOU","GB","NO","NYJ","WAS","TB","JAX","KC","OAK","DEN","TEN","43"
"mteitelman","5","5","-","ATL","BAL","HOU","GB","NO","NE","WAS","AZ","JAX","KC","OAK","DEN","IND","43"
"margate kid","5","5","CAR","ATL","BAL","HOU","GB","NO","NE","WAS","TB","JAX","KC","OAK","DEN","TEN","42"
"Petvet","5","5","CAR","ATL","BAL","HOU","GB","DET","NE","WAS","AZ","JAX","KC","OAK","DEN","TEN","41"
"Benny","5","5","CAR","ATL","BAL","HOU","GB","NO","NYJ","WAS","TB","JAX","KC","LAC","DEN","TEN","41"
"Jay and Sammy's Gramps","5","5","CAR","ATL","BAL","HOU","GB","DET","NE","WAS","AZ","JAX","KC","OAK","DEN","TEN","41"
"It's Wentz Time","5","5","CAR","ATL","BAL","HOU","GB","NO","NE","WAS","TB","JAX","KC","OAK","DEN","TEN","41"
"Agent of S.H.E.L.A.","5","5","CAR","ATL","BAL","HOU","GB","NO","NE","WAS","TB","JAX","KC","OAK","DEN","TEN","40"
"Abos","5","5","CAR","ATL","BAL","HOU","GB","NO","NE","WAS","TB","JAX","KC","OAK","DEN","TEN","40"
"Used to be BristolDr","5","5","PHI","ATL","BAL","HOU","GB","DET","NE","WAS","TB","JAX","KC","OAK","DEN","TEN","39"
"Giant Expectations","5","5","CAR","ATL","BAL","HOU","GB","DET","NE","WAS","TB","LAR","KC","OAK","DEN","TEN","38"
"Balls Deep","5","5","CAR","ATL","BAL","HOU","GB","NO","NE","WAS","TB","JAX","KC","LAC","DEN","IND","38"
"Badboybilly","5","5","PHI","ATL","BAL","HOU","GB","DET","NE","WAS","TB","JAX","KC","OAK","DEN","TEN","37"
"Sparky","5","5","PHI","ATL","BAL","HOU","GB","DET","NE","WAS","TB","JAX","KC","LAC","DEN","IND","36"
"mikemarkowitz","5","5","PHI","ATL","BAL","HOU","GB","DET","NE","WAS","TB","JAX","KC","OAK","DEN","TEN","35"
"Eggman366","5","5","CAR","ATL","BAL","HOU","GB","NO","NE","WAS","TB","JAX","KC","OAK","DEN","TEN","31"
"MSE=PA","4","4","CAR","ATL","BAL","HOU","GB","DET","NE","WAS","TB","JAX","KC","OAK","DEN","TEN","44"
"They Might Be Giants","4","4","CAR","ATL","CHI","HOU","GB","DET","NE","SF","AZ","JAX","KC","OAK","DEN","IND","43"
"Chessdoc","4","4","CAR","MIA","BAL","CLE","GB","NO","NE","SF","TB","JAX","PIT","OAK","DEN","IND","42"
"Brubabe","4","4","CAR","ATL","BAL","CLE","GB","DET","NE","WAS","AZ","JAX","KC","OAK","DEN","TEN","40"
"nc7690","4","4","CAR","ATL","BAL","HOU","GB","DET","NE","WAS","TB","JAX","KC","OAK","DEN","TEN","40"
"GKAT","4","4","CAR","ATL","BAL","HOU","GB","DET","NE","WAS","TB","JAX","KC","OAK","DEN","TEN","38"
"Dorf","4","4","CAR","ATL","BAL","HOU","GB","DET","NE","WAS","AZ","JAX","KC","OAK","DEN","IND","36"
"barry from miami","4","4","CAR","ATL","BAL","HOU","GB","DET","NE","WAS","TB","JAX","KC","OAK","DEN","TEN","31"
"West Coast Best Coast","3","3","CAR","ATL","BAL","HOU","GB","DET","NE","WAS","TB","JAX","KC","OAK","DEN","IND","50"
"mmillson","3","3","CAR","ATL","BAL","HOU","GB","DET","NE","WAS","TB","JAX","KC","OAK","DEN","IND","41"
"Howie's Hotdogs","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
