"","Score","Potential ScorePerfect: 16","CHI 14@GB 35","NO 20@MIA 0","BUF 23@ATL 17","PIT 26@BAL 9","CIN 31@CLE 7","LAR 35@DAL 30","TEN 14@HOU 57","DET 14@MN 7","CAR 33@NE 30","JAX 20@NYJ 23","SF 15@AZ 18","PHI 26@LAC 24","NYG 23@TB 25","OAK 10@DEN 16","IND 18@SEA 46","WAS 20@KC 29","Tie BreakerPredictionActual: 49"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"Jaddie's Daddy","9","9","GB","NO","ATL","PIT","CIN","DAL","TEN","MN","NE","NYJ","AZ","LAC","TB","OAK","SEA","KC","50"
"speedy","9","9","GB","NO","ATL","PIT","CLE","DAL","HOU","MN","NE","NYJ","AZ","LAC","NYG","DEN","SEA","KC","47"
"Boldman","9","9","GB","NO","ATL","PIT","CIN","DAL","TEN","DET","NE","JAX","AZ","LAC","NYG","DEN","SEA","KC","51"
"Petvet","9","9","GB","NO","ATL","PIT","CIN","DAL","TEN","MN","NE","JAX","AZ","LAC","TB","DEN","SEA","KC","46"
"Jay and Sammy's Gramps","9","9","GB","NO","ATL","BAL","CIN","DAL","HOU","MN","NE","JAX","AZ","PHI","NYG","DEN","SEA","KC","46"
"nugget3016","9","9","GB","NO","ATL","BAL","CIN","DAL","HOU","MN","NE","NYJ","AZ","LAC","NYG","DEN","SEA","KC","46"
"j3live","9","9","GB","NO","ATL","PIT","CLE","LAR","TEN","DET","NE","JAX","AZ","PHI","NYG","OAK","SEA","KC","53"
"Just Monkeyin' Around","9","9","GB","MIA","BUF","PIT","CIN","DAL","HOU","MN","NE","JAX","AZ","PHI","NYG","DEN","IND","KC","45"
"tonyppt","9","9","GB","NO","ATL","PIT","CLE","DAL","HOU","MN","NE","JAX","AZ","LAC","TB","DEN","SEA","KC","45"
"CTE DENIERS","9","9","GB","NO","ATL","PIT","CIN","DAL","HOU","MN","NE","JAX","AZ","LAC","NYG","DEN","SEA","KC","45"
"Benny","9","9","GB","NO","ATL","PIT","CLE","DAL","TEN","DET","NE","JAX","AZ","LAC","TB","DEN","SEA","KC","45"
