"","Score","Potential ScorePerfect: 16","NO 17@ATL 20","IND 7@BUF 13","MN 24@CAR 31","CHI 33@CIN 7","GB 27@CLE 21","SF 26@HOU 16","OAK 15@KC 26","DET 24@TB 21","DAL 30@NYG 10","TEN 7@AZ 12","NYJ 0@DEN 23","WAS 13@LAC 30","SEA 24@JAX 30","PHI 43@LAR 35","BAL 38@PIT 39","NE 20@MIA 27","Tie BreakerPredictionActual: 47"
"","","click for stats:","","","","","","","","","","","","","","","","","[?]"
"mikemarkowitz","8","8","NO","BUF","CAR","CIN","GB","HOU","KC","DET","DAL","TEN","NYJ","WAS","SEA","PHI","PIT","NE","25"
"GeverKriensky","8","8","NO","IND","CAR","CIN","CLE","HOU","KC","DET","DAL","TEN","DEN","LAC","SEA","PHI","PIT","NE","13"
"Phillycheese","7","7","NO","BUF","MN","CIN","GB","HOU","KC","TB","DAL","TEN","NYJ","LAC","JAX","LAR","PIT","NE","46"
"tnrosen","7","7","NO","BUF","MN","CIN","GB","HOU","OAK","TB","DAL","TEN","DEN","LAC","SEA","PHI","PIT","NE","46"
"TShelly","7","7","NO","BUF","MN","CIN","GB","HOU","KC","TB","DAL","TEN","NYJ","LAC","JAX","LAR","PIT","NE","48"
"MSE=PA","7","7","NO","BUF","MN","CIN","GB","HOU","KC","DET","DAL","TEN","NYJ","LAC","SEA","LAR","PIT","NE","48"
"The Pickmaster","7","7","ATL","IND","MN","CIN","CLE","SF","OAK","TB","DAL","AZ","NYJ","LAC","JAX","PHI","BAL","NE","45"
"The System","7","7","ATL","IND","MN","CIN","CLE","HOU","KC","TB","NYG","AZ","DEN","LAC","JAX","LAR","BAL","MIA","51"
"Big Blue 14","7","7","-","BUF","CAR","CIN","GB","HOU","OAK","DET","NYG","TEN","NYJ","LAC","JAX","LAR","PIT","NE","51"
"Benny","7","7","ATL","IND","MN","CIN","GB","HOU","KC","TB","DAL","TEN","NYJ","LAC","SEA","PHI","PIT","NE","51"
"It's Wentz Time","7","7","NO","BUF","MN","CIN","GB","HOU","KC","DET","DAL","TEN","NYJ","LAC","SEA","LAR","PIT","NE","51"
"Kosher Dill","7","7","ATL","IND","MN","CIN","GB","HOU","KC","TB","NYG","TEN","NYJ","LAC","JAX","PHI","PIT","NE","43"
"They Might Be Giants","7","7","NO","BUF","MN","CIN","GB","HOU","OAK","DET","NYG","AZ","NYJ","WAS","JAX","PHI","PIT","NE","52"
"speedy","7","7","ATL","IND","MN","CIN","CLE","SF","OAK","TB","DAL","AZ","NYJ","LAC","SEA","PHI","PIT","NE","42"
"Keith Sweat Tailor","7","7","ATL","IND","CAR","CIN","GB","HOU","KC","TB","DAL","TEN","NYJ","LAC","SEA","LAR","PIT","NE","41"
"Agent of S.H.E.L.A.","7","7","NO","BUF","MN","CIN","GB","HOU","KC","TB","DAL","TEN","NYJ","LAC","JAX","LAR","PIT","NE","40"
"jtyler15","6","6","NO","BUF","MN","CIN","GB","HOU","OAK","DET","DAL","TEN","NYJ","LAC","SEA","PHI","BAL","NE","46"
"Mediocre Superiority","6","6","NO","IND","MN","CIN","GB","HOU","OAK","DET","NYG","TEN","DEN","LAC","JAX","LAR","PIT","NE","46"
"Lucky Laits","6","6","NO","BUF","CAR","CIN","GB","HOU","OAK","TB","DAL","TEN","NYJ","LAC","JAX","LAR","BAL","NE","49"
"Giant Expectations","6","6","ATL","BUF","MN","CIN","CLE","HOU","OAK","DET","NYG","TEN","DEN","LAC","SEA","LAR","PIT","NE","45"
"Rovner Team","6","6","ATL","BUF","MN","CIN","CLE","HOU","OAK","TB","DAL","TEN","DEN","LAC","SEA","PHI","BAL","NE","44"
"howarddmd","5","5","NO","BUF","MN","CIN","GB","HOU","OAK","TB","DAL","TEN","NYJ","LAC","SEA","LAR","PIT","NE","41"
"GmenBlues","3","3","NO","-","MN","CIN","GB","-","-","-","NYG","TEN","DEN","WAS","SEA","LAR","PIT","NE","0"
"Dorf","2","2","ATL","-","-","-","-","-","-","-","-","-","-","-","-","PHI","BAL","NE","36"
"maldo","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
